K,m,v,q
10004776,111580-04,340,1
10004777,123510-02,341,1
10004808,124930-58,342,1
10004837,151140-01,343,1
10004843,111150-01,344,1
10004843,111150-02,345,1
10005004,111650-01,346,1
10005056,123530-05,347,1
10005212,111220-07,348,1
10005214,151210-53,349,1
10005274,134130-05,350,1
10005371,123410-15,351,1
10005418,135130-25,352,1
10005473,123410-23,353,1
10005475,123410-15,354,1
10005489,111500-01,355,1
10005510,100620-01,356,1
10005513,100680-20,357,1
10005537,100470-08,358,1
10005538,100470-08,359,1
10005561,111190-01,360,1
10005561,111190-01,361,1
10005561,111190-01,362,1
10005594,123420-17,363,1
10005619,124950-15,364,1
10005619,124950-15,365,1
10005622,124930-52,366,1
10005681,124930-52,367,1
10005689,124950-15,368,1
10005689,124950-15,369,1
10005767,135100-21,370,1
10005769,111650-01,371,1
10005769,111820-02,372,1
10005769,111820-02,373,1
10005775,135100-21,374,1
10005777,135100-21,375,1
10005872,123530-01,376,1
10005872,123530-03,377,1
10006003,110980-01,378,1
10006003,111190-01,379,1
10006003,111190-01,380,1
10006003,111190-01,381,1
10006003,111190-03,382,1
10006066,123540-05,383,1
10006068,123540-12,384,1
10006071,110980-01,385,1
10006071,110980-01,386,1
10006099,100650-01,387,1
10006099,100650-01,388,1
10006110,135100-04,389,1
10006110,135100-21,390,1
10006190,135100-04,391,1
10006190,135100-21,392,1
10006244,140040-13,393,1
10006251,162430-08,394,1
10006268,140040-25,395,1
10006283,140320-01,396,1
10006290,140320-01,397,1
10006314,110980-02,398,1
10006314,110980-02,399,1
10006350,111580-04,400,1
10006351,111580-01,401,1
10006356,124260-14,402,1
10006386,124260-14,403,1
10006433,111600-03,404,1
10006561,151210-01,405,1
10006697,123570-04,406,1
10006796,135100-21,407,1
10006855,151450-02,408,1
10006906,123530-05,409,1
10006961,111480-01,410,1
10006967,151450-02,411,1
10007003,124600-04,412,1
10007045,123410-15,413,1
10007061,140040-20,414,1
10007079,100660-01,415,1
10007079,100660-01,416,1
10007102,135090-01,417,1
10007141,135130-09,418,1
10007142,100410-09,419,1
10007144,124600-06,420,1
10007144,123080-06,421,1
10007227,123510-02,422,1
10007287,123510-05,423,1
10007402,123530-01,424,1
10007402,123530-02,425,1
10007575,151210-01,426,1
10007575,151210-01,427,1
10007575,151210-01,428,1
10007575,151210-01,429,1
10007575,151210-02,430,1
10007575,151210-02,431,1
10007575,151210-02,432,1
10007575,151210-06,433,1
10007575,151210-06,434,1
10007575,151210-06,435,1
10007575,151210-06,436,1
10007575,151210-06,437,1
10007575,151210-45,438,1
10007575,151210-51,439,1
10007575,151210-53,440,1
10007575,151210-53,441,1
10007751,140040-10,442,1
10007777,123180-04,443,1
10007780,151560-01,444,1
10007780,151560-01,445,1
10007932,111230-06,446,1
10007932,111230-06,447,1
10007968,124930-13,448,1
10007968,124930-70,449,1
10007968,124930-70,450,1
10007979,110980-01,451,1
10007979,110980-01,452,1
10007979,110980-01,453,1
10007979,110980-01,454,1
10007979,110980-01,455,1
10007979,110980-01,456,1
10007979,110980-03,457,1
10007987,123550-01,458,1
10008026,111580-04,459,1
10008111,111230-06,460,1
10008111,111230-06,461,1
10008122,111600-06,462,1
10008124,111600-05,463,1
10008142,111570-01,464,1
10008224,140320-01,465,1
10008284,111640-03,466,1
10008284,111640-08,467,1
10008321,162590-01,468,1
10008350,140500-01,469,1
10008352,111810-01,470,1
10008355,140500-01,471,1
10008372,140500-01,472,1
10008425,111450-01,473,1
10008444,110980-01,474,1
10008444,110980-01,475,1
10008775,124930-12,476,1
10008775,124930-12,477,1
10008775,124930-13,478,1
10008775,124930-13,479,1
10008869,110980-01,480,1
10008869,110980-01,481,1
10008869,110980-01,482,1
10008869,110980-01,483,1
10008869,110980-01,484,1
10008869,110980-02,485,1
10008869,110980-02,486,1
10008869,110980-02,487,1
10008995,110980-01,488,1
10008995,110980-01,489,1
10009291,140500-01,490,1
10009397,111260-02,491,1
10009397,111260-02,492,1
10009397,111260-02,493,1
10009397,111260-11,494,1
10009482,111220-05,495,1
10009490,111640-03,496,1
10009668,135120-07,497,1
10009700,123530-05,498,1
10009700,123530-07,499,1
10009946,123410-15,500,1
10009994,111580-01,501,1
10009994,111580-04,502,1
10010138,111220-05,503,1
10010175,123590-06,504,1
10010189,110980-01,505,1
10010189,110980-01,506,1
10010189,110980-01,507,1
10010189,110980-01,508,1
10010278,110980-01,509,1
10010278,110980-01,510,1
10010278,110980-01,511,1
10010278,110980-01,512,1
10010278,110980-02,513,1
10010278,110980-02,514,1
10010311,111700-09,515,1
10010329,134130-01,516,1
10010385,111640-01,517,1
10010547,111500-01,518,1
10010562,110980-01,519,1
10010562,110980-01,520,1
10010562,110980-01,521,1
10010562,110980-01,522,1
10010598,135100-01,523,1
10010680,124930-13,524,1
10010680,124930-13,525,1
10010697,124600-12,526,1
10010742,151210-44,527,1
10010755,123510-02,528,1
10010755,123510-05,529,1
10010953,110980-01,530,1
10010953,110980-01,531,1
10010953,110980-01,532,1
10010953,110980-01,533,1
10010953,111190-01,534,1
10010953,111190-01,535,1
10010953,111190-01,536,1
10010953,111190-03,537,1
10010953,111190-03,538,1
10010960,123420-18,539,1
10010960,123420-18,540,1
10010978,110980-01,541,1
10010978,110980-01,542,1
10010978,110980-01,543,1
10010978,110980-01,544,1
10010979,110980-01,545,1
10010979,110980-01,546,1
10010979,110980-01,547,1
10010979,110980-01,548,1
10011097,100440-08,549,1
10011211,124930-30,550,1
10011214,111150-02,551,1
10011241,151210-51,552,1
10011296,151210-01,553,1
10011296,151210-01,554,1
10011296,151210-01,555,1
10011296,151210-01,556,1
10011296,151210-01,557,1
10011296,151210-02,558,1
10011296,151210-02,559,1
10011296,151210-02,560,1
10011296,151210-06,561,1
10011296,151210-06,562,1
10011296,151210-06,563,1
10011296,151210-06,564,1
10011296,151210-06,565,1
10011296,151210-44,566,1
