K,P,e
10001577,111190-02_10001577_0300,1
10001590,111040-01_10001590_0900,1
10001591,111600-02_10001591_0600,1
10001591,111600-02_10001591_0700,1
10001639,100610-50_10001639_0120,1
10001639,100610-50_10001639_0140,1
10001639,100610-50_10001639_0130,1
10001639,100610-50_10001639_0110,1
10001639,100610-10_10001639_0320,1
10001639,100610-10_10001639_0330,1
10001639,100610-10_10001639_0340,1
10001639,100610-10_10001639_0310,1
10001643,112020-03_10001643_0300,1
10001655,123530-04_10001655_0800,1
10001659,123530-04_10001659_0800,1
10001703,111800-01_10001703_0100,1
10001709,123410-25_10001709_0300,1
10001725,111220-05_10001725_0500,1
10001730,111190-02_10001730_0100,1
10001731,111190-02_10001731_0100,1
10001758,123540-04_10001758_0100,1
10001800,112020-02_10001800_0200,1
10001902,111190-03_10001902_0302,1
10001902,111190-03_10001902_0301,1
10001902,111190-01_10001902_0101,1
10001902,111190-01_10001902_0103,1
10001902,111190-01_10001902_0111,1
10001908,111600-01_10001908_0600,1
10001911,111600-01_10001911_0500,1
10001912,111600-01_10001912_0500,1
10001916,100620-01_10001916_0210,1
10001922,123080-01_10001922_0400,1
10001939,111240-10_10001939_0100,1
10001953,111260-03_10001953_0510,1
10001953,111260-02_10001953_0500,1
10001972,151540-02_10002247_0200,1
10002089,111700-09_10002089_0900,1
10002097,124500-03_10002097_0200,1
10002117,151550-02_10002117_0200,1
10002122,135150-16_10002122_0800,1
10002128,123560-01_10002128_0100,1
10002128,123560-01_10002128_0300,1
10002131,123540-08_10002131_0300,1
10002141,124600-12_10002141_0500,1
10002153,111040-04_10002153_0100,1
10002153,111040-04_10002153_0300,1
10002153,111040-01_10002153_0500,1
10002153,111040-01_10002153_0400,1
10002160,151550-03_10002160_0200,1
10002170,123540-08_10002170_0300,1
10002172,123540-08_10002172_0500,1
10002173,151140-01_10002173_0300,1
10002174,123560-01_10002174_0100,1
10002174,123560-01_10002174_0300,1
10002177,111040-05_10002177_0200,1
10002178,123540-06_10002178_0200,1
10002196,123540-10_10002196_0500,1
10002196,123540-12_10002196_0600,1
10002207,111650-03_10002207_0100,1
10002209,151210-51_10002209_0500,1
10002211,111040-04_10002211_0100,1
10002211,111040-04_10002211_0300,1
10002211,111040-01_10002211_0400,1
10002211,111040-01_10002211_0500,1
10002237,123560-01_10002237_1000,1
10002243,123540-03_10002243_0200,1
10002244,124260-14_10002244_0200,1
10002247,151540-01_10002247_0110,1
10002247,151540-02_10002247_0200,1
10002256,124260-01_10002256_0100,1
10002258,111040-05_10002258_0500,1
10002282,111560-05_10002282_0200,1
10002302,151140-01_10002173_0300,1
10002302,151140-01_10004837_0100,1
10002373,124860-02_10205591_0100,1
10002373,124860-02_10594532_0199,1
10002373,124860-02_10594532_0300,1
10002682,111640-07_10002682_0700,1
10002714,100680-10_10002714_0210,1
10002736,123540-14_10002736_0200,1
10002795,111130-10_10002795_0100,1
10002815,124930-17_10002815_1700,1
10002815,124930-17_10002815_1710,1
10002820,111140-01_10002820_0100,1
10002864,123080-12_10002864_0300,1
10002864,123080-12_10002864_0400,1
10002864,123080-15_10002864_0600,1
10002864,123080-06_10002864_1300,1
10002864,123080-06_10002864_1400,1
10002923,123180-04_10002923_0400,1
10002938,151330-06_10002938_0200,1
10002939,110320-04_10002939_0100,1
10002994,124870-05_10002994_0500,1
10003100,111500-01_10003100_0200,1
10003110,111190-01_10003110_0101,1
10003110,111190-01_10003110_0106,1
10003110,111190-01_10003110_0108,1
10003241,135130-01_10003241_0100,1
10003310,123530-01_10003310_0500,1
10003310,123530-04_10003310_0800,1
10003313,124260-01_10003313_0300,1
10003320,111470-02_10003320_0101,1
10003330,151040-04_10003330_0402,1
10003330,151040-11_10003330_0202,1
10003331,151550-04_10003331_0300,1
10003331,151550-06_10003331_0600,1
10003335,123530-04_10003335_0800,1
10003340,111040-05_10003340_0500,1
10003344,100610-10_10003344_0110,1
10003345,100470-08_10003345_0110,1
10003346,100610-70_10003346_0110,1
10003346,100610-70_10003346_0200,1
10003363,135100-04_10003363_0100,1
10003363,135100-21_10003363_0500,1
10003553,124930-17_10003553_170A,1
10003553,124930-17_10003553_170B,1
10003553,124930-17_10003553_170C,1
10003553,124930-17_10003553_171A,1
10003553,124930-17_10003553_171B,1
10003553,124930-17_10003553_171C,1
10003635,124930-05_10003635_0500,1
10003635,124930-05_10003635_0502,1
10003650,111690-01_10003650_0200,1
10003670,111700-03_10003670_0500,1
10003685,111130-04_10003685_0100,1
10003689,111160-01_10003689_0401,1
10003712,124260-04_10003712_0300,1
10003756,123590-06_10003756_0300,1
10003756,123590-06_10003756_0301,1
10003796,124600-04_10003796_0400,1
10003826,135130-25_10003826_0400,1
10003860,124600-10_10003860_0700,1
10003860,124600-10_10003860_0800,1
10003862,124600-10_10003860_0800,1
10003895,111150-01_10003895_0100,1
10003896,151210-76_10003896_0200,1
10003901,111150-01_10003901_0100,1
10003903,111150-01_10003903_0100,1
10004034,125040-05_10004034_0600,1
10004144,111130-02_10004144_0400,1
10004174,111190-01_10004174_0101,1
10004174,111190-01_10004174_0102,1
10004174,111190-01_10004174_0103,1
10004193,135090-11_10004193_0200,1
10004320,100470-08_10004320_0110,1
10004337,111130-02_10004337_0400,1
10004472,162150-01_10004472_1000,1
10004512,151450-11_10004512_0100,1
10004573,111350-16_10004573_6610,1
10004573,111350-17_10004573_6710,1
10004573,111400-03_10004573_4310,1
10004578,110980-02_10004578_0701,1
10004578,110980-02_10004578_0700,1
10004606,100610-70_10004606_0200,1
10004632,140040-14_10004632_0200,1
10004632,140040-15_10004632_0300,1
10004632,140040-16_10004632_0100,1
10004632,140040-22_10004632_0400,1
10004663,123510-05_10004663_1000,1
10004665,111190-03_10004665_0301,1
10004665,111190-01_10004665_0102,1
10004665,111190-01_10004665_0101,1
10004665,111190-01_10004665_0100,1
10004665,111190-03_10004665_0300,1
10004665,110980-01_10004665_0703,1
10004665,110980-01_10004665_0702,1
10004665,110980-01_10004665_0705,1
10004665,110980-01_10004665_0700,1
10004728,111190-02_10004728_0100,1
10004729,110980-01_10004729_0100,1
10004729,110980-02_10004729_0200,1
10004776,111580-04_10004776_0400,1
10004777,123510-02_10004777_1000,1
10004808,124930-58_10004808_2200,1
10004837,151140-01_10004837_0100,1
10004843,111150-01_10004843_0400,1
10004843,111150-02_10004843_0100,1
10005004,111650-01_10000566_0100,1
10005056,123530-05_10005056_0500,1
10005212,111220-07_10005212_0700,1
10005214,151210-53_10005214_0100,1
10005274,134130-05_10005274_1400,1
10005371,123410-15_10005371_0500,1
10005418,135130-25_10005418_0400,1
10005473,123410-23_10005473_0500,1
10005475,123410-15_10005475_0400,1
10005489,111500-01_10005489_0300,1
10005510,100620-01_10005510_0210,1
10005513,100680-20_10005513_0210,1
10005537,100470-08_10005537_0110,1
10005538,100470-08_10005538_0110,1
10005561,111190-01_10005561_0101,1
10005561,111190-01_10005561_0106,1
10005561,111190-01_10005561_0107,1
10005594,123420-17_10005594_0100,1
10005619,124950-15_10005619_0210,1
10005619,124950-15_10005619_0200,1
10005622,124930-52_10005622_5200,1
10005681,124930-52_10005681_5200,1
10005689,124950-15_10005689_0300,1
10005689,124950-15_10005689_0310,1
10005767,135100-21_10005767_0500,1
10005769,111650-01_10000566_0100,1
10005769,111820-02_11022443_0100,1
10005769,111820-02_11022444_0100,1
10005775,135100-21_10005775_0600,1
10005777,135100-21_10005777_0500,1
10005872,123530-01_10005872_0500,1
10005872,123530-03_10005872_0100,1
10006003,111190-03_10006003_0300,1
10006003,111190-01_10006003_0109,1
10006003,111190-01_10006003_0102,1
10006003,110980-01_10006003_0700,1
10006003,111190-01_10006003_0103,1
10006066,123540-05_10006066_0100,1
10006068,123540-12_10006068_0100,1
10006071,110980-01_10006071_0703,1
10006071,110980-01_10006071_0704,1
10006099,100650-01_10006099_0210,1
10006099,100650-01_10006099_0220,1
10006110,135100-04_10006110_0500,1
10006110,135100-21_10006110_0700,1
10006190,135100-04_10006190_0200,1
10006190,135100-21_10006190_0500,1
10006244,140040-13_10006244_0500,1
10006251,162430-08_10006251_0700,1
10006268,140040-25_10006268_0500,1
10006283,140320-01_10006283_0400,1
10006290,140320-01_10006283_0400,1
10006314,110980-02_10006314_0700,1
10006314,110980-02_10006314_0701,1
10006350,111580-04_10006350_0400,1
10006351,111580-01_10006351_0500,1
10006356,124260-14_10006356_0100,1
10006386,124260-14_10006386_0100,1
10006433,111600-03_10006433_0500,1
10006561,151210-01_10071360_0100,1
10006697,123570-04_10006697_0400,1
10006796,135100-21_10006796_0500,1
10006855,151450-02_10006855_0100,1
10006906,123530-05_10006906_0800,1
10006961,111480-01_10006961_0200,1
10006967,151450-02_10006967_0100,1
10007003,124600-04_10007003_0300,1
10007045,123410-15_10007045_0200,1
10007061,140040-20_10007061_0800,1
10007079,100660-01_10007079_0310,1
10007079,100660-01_10007079_0320,1
10007102,135090-01_10007102_0400,1
10007141,135130-09_10007141_0200,1
10007142,100410-09_10007142_0200,1
10007144,123080-06_10007144_0900,1
10007144,124600-06_10007144_0600,1
10007227,123510-02_10007227_1000,1
10007287,123510-05_10007287_1000,1
10007402,123530-01_10007402_0500,1
10007402,123530-02_10007402_0800,1
10007575,151210-53_10082136_0100,1
10007575,151210-53_10005214_0100,1
10007575,151210-51_10002209_0500,1
10007575,151210-45_10211397_0500,1
10007575,151210-06_10587921_0600,1
10007575,151210-06_10089438_0700,1
10007575,151210-06_10081835_0700,1
10007575,151210-06_10587921_0700,1
10007575,151210-02_10593283_0200,1
10007575,151210-02_10072799_0600,1
10007575,151210-02_10072180_0500,1
10007575,151210-06_10072056_0700,1
10007575,151210-01_10609863_0100,1
10007575,151210-01_10072799_0500,1
10007575,151210-01_10072180_0200,1
10007575,151210-01_10071360_0100,1
10007751,140040-10_10235355_0100,1
10007777,123180-04_10002923_0400,1
10007780,151560-01_10072390_0300,1
10007780,151560-01_10072390_0400,1
10007932,111230-06_10007932_0100,1
10007932,111230-06_10007932_0200,1
10007968,124930-70_10007968_7000,1
10007968,124930-70_10007968_7010,1
10007968,124930-13_10007968_1300,1
10007979,110980-01_10007979_0700,1
10007979,110980-01_10007979_0701,1
10007979,110980-01_10007979_0702,1
10007979,110980-01_10007979_0703,1
10007979,110980-01_10007979_0704,1
10007979,110980-01_10007979_0705,1
10007979,110980-03_10007979_0800,1
10007987,123550-01_10007987_1000,1
10008026,111580-04_10008026_0400,1
10008111,111230-06_10008111_0100,1
10008111,111230-06_10008111_0200,1
10008122,111600-06_10008122_0500,1
10008124,111600-05_10008124_0600,1
10008142,111570-01_10544630_0100,1
10008224,140320-01_10006283_0400,1
10008284,111640-08_10008284_0800,1
10008284,111640-03_10008284_0300,1
10008321,162590-01_10008321_0200,1
10008350,140500-01_10001181_0500,1
10008352,111810-01_10000446_0100,1
10008355,140500-01_10001181_0500,1
10008372,140500-01_10001181_0500,1
10008425,111450-01_10008425_0101,1
10008444,110980-01_10008444_0701,1
10008444,110980-01_10008444_0702,1
10008775,124930-12_10008775_1200,1
10008775,124930-12_10008775_1210,1
10008775,124930-13_10008775_1300,1
10008775,124930-13_10008775_1310,1
10008869,110980-02_10008869_0800,1
10008869,110980-02_10008869_0201,1
10008869,110980-02_10008869_0200,1
10008869,110980-01_10008869_0900,1
10008869,110980-01_10008869_0605,1
10008869,110980-01_10008869_0606,1
10008869,110980-01_10008869_0603,1
10008869,110980-01_10008869_0607,1
10008995,110980-01_10008995_0701,1
10008995,110980-01_10008995_0702,1
10009291,140500-01_10001181_0500,1
10009397,111260-02_10009397_0530,1
10009397,111260-02_10009397_0510,1
10009397,111260-02_10009397_0520,1
10009397,111260-11_10009397_0500,1
10009482,111220-05_10009482_0500,1
10009490,111640-03_10009490_0300,1
10009668,135120-07_10009668_0200,1
10009700,123530-05_10009700_0900,1
10009700,123530-07_10009700_0800,1
10009946,123410-15_10009946_0200,1
10009994,111580-01_10009994_0500,1
10009994,111580-04_10009994_0400,1
10010138,111220-05_10010138_0500,1
10010175,123590-06_10010175_0100,1
10010189,110980-01_10010189_0700,1
10010189,110980-01_10010189_0701,1
10010189,110980-01_10010189_0702,1
10010189,110980-01_10010189_0705,1
10010278,110980-02_10010278_0201,1
10010278,110980-02_10010278_0200,1
10010278,110980-01_10010278_0707,1
10010278,110980-01_10010278_0700,1
10010278,110980-01_10010278_0701,1
10010278,110980-01_10010278_0702,1
10010311,111700-09_10010311_0200,1
10010329,134130-01_10010329_1500,1
10010385,111640-01_10010385_0100,1
10010547,111500-01_10018823_0100,1
10010562,110980-01_10010562_0703,1
10010562,110980-01_10010562_0700,1
10010562,110980-01_10010562_0701,1
10010562,110980-01_10010562_0704,1
10010598,135100-01_10010598_0500,1
10010680,124930-13_10010680_1300,1
10010680,124930-13_10010680_1310,1
10010697,124600-12_10010697_0300,1
10010742,151210-44_10010742_0100,1
10010755,123510-02_10010755_1000,1
10010755,123510-05_10010755_1100,1
10010953,111190-03_10010953_0301,1
10010953,111190-01_10010953_0102,1
10010953,111190-01_10010953_0101,1
10010953,111190-01_10010953_0100,1
10010953,111190-03_10010953_0300,1
10010953,110980-01_10010953_0704,1
10010953,110980-01_10010953_0702,1
10010953,110980-01_10010953_0700,1
10010953,110980-01_10010953_0705,1
10010960,123420-18_10060991_0500,1
10010960,123420-18_10060991_0600,1
10010978,110980-01_10010978_0700,1
10010978,110980-01_10010978_0701,1
10010978,110980-01_10010978_0703,1
10010978,110980-01_10010978_0704,1
10010979,110980-01_10010979_0700,1
10010979,110980-01_10010979_0701,1
10010979,110980-01_10010979_0703,1
10010979,110980-01_10010979_0705,1
10011097,100440-08_10011097_0200,1
10011211,124930-30_10011211_3000,1
10011214,111150-02_10011214_0200,1
10011241,151210-51_10002209_0500,1
10011296,151210-53_10082136_0100,1
10011296,151210-53_10005214_0100,1
10011296,151210-51_10002209_0500,1
10011296,151210-45_10211397_0500,1
10011296,151210-44_10010742_0100,1
10011296,151210-06_10587921_0600,1
10011296,151210-06_10089438_0700,1
10011296,151210-06_10081835_0700,1
10011296,151210-06_10587921_0700,1
10011296,151210-02_10593283_0200,1
10011296,151210-06_10072056_0700,1
10011296,151210-01_10072180_0200,1
10011296,151210-01_10072799_0500,1
10011296,151210-01_10609863_0100,1
10011296,151210-01_10071360_0100,1
10011296,151210-02_10072180_0500,1
10011296,151210-02_10072799_0600,1
10011296,151210-01_10609864_0100,1
10011329,123510-02_10011329_1000,1
10011338,135100-21_10011338_0500,1
10011467,123500-01_10205308_0100,1
10011514,123570-05_10083973_0300,1
10011566,151450-01_10011566_0100,1
10011664,111350-14_10011664_6411,1
10011664,111350-17_10011664_6711,1
10011844,111190-01_10011844_0103,1
10011844,111190-01_10011844_0101,1
10011844,111190-01_10011844_0109,1
10011844,110980-01_10011844_0702,1
10011844,110980-01_10011844_0700,1
10011844,110980-01_10011844_0703,1
10011884,111860-40_10076484_0071,1
10011884,111860-40_10860884_0070,1
10011884,111860-40_10860884_0081,1
10011884,111860-40_10869482_0071,1
10011930,111190-03_10011930_0300,1
10011993,123550-11_10011993_1000,1
10012005,124600-12_10012005_0400,1
10012063,135100-03_10012063_0100,1
10012221,111150-01_10012221_0400,1
10012221,111150-02_10012221_0100,1
10012233,135130-02_10012233_0200,1
10012263,135100-21_10012263_0500,1
10012293,124930-05_10012293_0501,1
10012293,124930-05_10012293_0502,1
10012293,124930-05_10012293_0503,1
10012336,123470-20_10012336_0300,1
10012384,123530-05_10012384_0800,1
10012385,123520-07_10012385_0201,1
10012385,123520-07_10012385_0202,1
10012422,123550-03_10012422_1000,1
10012422,123550-03_10012422_1100,1
10012569,123680-16_10012569_0400,1
10012569,123680-16_10012569_0100,1
10012587,123590-02_10012587_0400,1
10012587,123590-02_10012587_0500,1
10012587,123590-06_10012587_0201,1
10012630,135100-08_10012630_0500,1
10012680,110980-01_10012680_0700,1
10012680,111190-01_10012680_0101,1
10012680,111190-01_10012680_0102,1
10012699,110980-01_10012699_0701,1
10012699,110980-01_10012699_0702,1
10012746,111180-08_10012746_0100,1
10012746,111180-08_10012746_0101,1
10012766,123520-17_10012766_0100,1
10012792,111130-11_10012792_0100,1
10012870,123410-25_10012870_0300,1
10012918,151210-95_10000713_0200,1
10012983,111230-06_10012983_0100,1
10012983,111230-06_10012983_0200,1
10013116,123530-05_10013116_0801,1
10013116,123530-05_10013116_0800,1
10013130,124930-17_10013130_170A,1
10013130,124930-17_10013130_170B,1
10013130,124930-17_10013130_170C,1
10013228,123590-06_10013228_0300,1
10013242,100470-08_10013242_0110,1
10013354,123540-05_10013354_0100,1
10013360,124870-04_10013360_0500,1
10013481,111190-01_10013481_0101,1
10013481,111190-01_10013481_0103,1
10013481,111190-01_10013481_0109,1
10013610,111700-03_10013610_0100,1
10013726,123680-09_10013726_0300,1
10013791,100600-01_10013791_0410,1
10013791,100630-10_10013791_0310,1
10013914,123410-15_10013914_0100,1
10013987,124870-03_10013987_0500,1
10013990,135130-33_10013990_0200,1
10014326,135120-14_10014326_0100,1
10014333,123410-25_10014333_0300,1
10014357,124500-02_10014357_0200,1
10014361,111680-01_10014994_0200,1
10014361,111680-01_10014994_0300,1
10014374,111140-01_10014374_0100,1
10014496,136040-14_10014496_0500,1
10014529,123530-01_10014529_0500,1
10014597,123410-15_10014597_0400,1
10014688,110980-01_10014688_0100,1
10014758,124930-30_10014758_3000,1
10014806,123410-15_10014806_0210,1
10014806,123410-15_10014806_0200,1
10014827,111230-06_10014827_0100,1
10014827,111230-06_10014827_0200,1
10014969,111190-01_10014969_0101,1
10014969,111190-01_10014969_0103,1
10014969,111190-01_10014969_0105,1
10014994,111680-01_10014994_0200,1
10014994,111680-01_10014994_0300,1
10015098,111140-01_10015098_0100,1
10015136,151450-11_10015136_0100,1
10015141,110980-01_10015141_0706,1
10015141,110980-01_10015141_0700,1
10015141,110980-01_10015141_0702,1
10015141,110980-01_10015141_0705,1
10015141,110980-02_10015141_0200,1
10015241,124600-12_10015241_0300,1
10015258,135120-10_10015258_0300,1
10015264,100620-06_10015264_0200,1
10015267,100620-06_10015267_0200,1
10015287,123470-20_10015287_0300,1
10015430,123530-05_10015430_0800,1
10015436,124600-04_10015436_0500,1
10015436,124600-04_10015436_0600,1
10015455,111240-06_10015455_0100,1
10015456,111240-06_10015456_0200,1
10015469,111190-03_10015469_0300,1
10015469,111190-01_10015469_0103,1
10015469,111190-01_10015469_0102,1
10015469,111190-01_10015469_0101,1
10015469,110980-03_10015469_0800,1
10015469,110980-01_10015469_0800,1
10015469,110980-01_10015469_0705,1
10015469,110980-01_10015469_0704,1
10015469,110980-01_10015469_0703,1
10015469,110980-01_10015469_0702,1
10015469,110980-01_10015469_0701,1
10015508,151310-01_10015508_0200,1
10015544,124930-05_10015544_0500,1
10015581,100650-02_10015581_0210,1
10015690,123080-13_10015690_0400,1
10015690,123540-12_10015690_0300,1
10015691,123080-07_10015691_0700,1
10015696,100600-01_10015696_0210,1
10015715,110980-01_10015715_0604,1
10015715,110980-01_10015715_0603,1
10015715,110980-01_10015715_0601,1
10015715,110980-01_10015715_0600,1
10015715,110980-01_10015715_0602,1
10015750,111220-03_10015750_0300,1
10015781,123540-12_10015781_0600,1
10015911,123410-25_10015911_0300,1
10015928,123530-04_10015928_0900,1
10016000,135120-19_10016000_0100,1
10016035,111190-03_10016035_0400,1
10016035,110980-01_10016035_0704,1
10016035,110980-01_10016035_0706,1
10016035,111190-01_10016035_0101,1
10016035,111190-01_10016035_0105,1
10016035,111190-01_10016035_0106,1
10016056,135150-15_10016056_0400,1
10016056,135150-12_10016056_0300,1
10016056,135150-03_10016056_0200,1
10016057,124930-50_10016057_5010,1
10016057,124930-13_10016057_1300,1
10016057,124930-13_10016057_1310,1
10016057,124930-17_10016057_1700,1
10016057,124930-17_10016057_1710,1
10016057,124930-17_10016057_7000,1
10016057,124930-17_10016057_7010,1
10016057,124930-50_10016057_5000,1
10016154,123510-05_10016154_1000,1
10016267,124970-10_10016267_0300,1
10016333,123680-23_10016333_0200,1
10016346,123080-15_10016346_0800,1
10016346,124870-09_10016346_0500,1
10016407,123080-12_10016407_0300,1
10016528,111260-11_10016528_0500,1
10016528,111260-11_10016528_0600,1
10016598,124980-01_10209450_0100,1
10016618,123020-03_10016618_0700,1
10016630,111190-01_10016630_0103,1
10016630,111190-01_10016630_0101,1
10016630,110980-01_10016630_0704,1
10016630,111190-01_10016630_0105,1
10016630,110980-01_10016630_0702,1
10016630,110980-01_10016630_0700,1
10016630,110980-01_10016630_0703,1
10016636,100680-10_10016636_0310,1
10016649,110980-01_10016649_0700,1
10016649,110980-01_10016649_0701,1
10016649,110980-01_10016649_0702,1
10016649,110980-01_10016649_0706,1
10016649,110980-01_10016649_0707,1
10016649,110980-02_10016649_0200,1
10016667,111180-01_10016667_0200,1
10016667,111180-01_10016667_0100,1
10016723,111190-01_10016723_0106,1
10016723,111190-01_10016723_0110,1
10016723,111190-01_10016723_0101,1
10016723,111190-01_10016723_0104,1
10016786,123530-05_10016786_0800,1
10016786,123530-05_10016786_0801,1
10016786,123530-05_10016786_0802,1
10016807,100610-50_10016807_0140,1
10016807,100610-50_10016807_0130,1
10016807,100610-50_10016807_0110,1
10016807,100610-50_10016807_0120,1
10016814,100610-10_10016814_0110,1
10016814,100610-10_10016814_0120,1
10016814,100610-10_10016814_0130,1
10016814,100610-10_10016814_0140,1
10016814,100610-10_10016814_0200,1
10016816,100610-50_10016816_0310,1
10016816,100610-50_10016816_0320,1
10016816,100610-50_10016816_0330,1
10016816,100610-50_10016816_0340,1
10016821,100610-10_10016821_0230,1
10016821,100610-10_10016821_0210,1
10016821,100610-10_10016821_0220,1
10016821,100610-10_10016821_0240,1
10016825,100610-50_10016825_0140,1
10016825,100610-10_10016825_0240,1
10016825,100610-10_10016825_0210,1
