K,Q_max
10062735,1000000
10062754,1000000
10062754,1000000
10062806,1000000
10062974,1000000
10063057,1000000
10063144,1000000
10063188,1000000
10063220,1000000
10063223,1000000
10063360,1000000
10063360,1000000
10063366,1000000
10063557,1000000
10063593,1000000
10063593,1000000
10063597,1000000
10063659,1000000
10063677,1000000
10063686,1000000
10063686,1000000
10063694,1000000
10063694,1000000
10063713,1000000
10063713,1000000
10063725,1000000
10063739,1000000
10063739,1000000
10063747,1000000
10063747,1000000
10063782,1000000
10063805,1000000
10063901,1000000
10063901,1000000
10063901,1000000
10063906,1000000
10063964,1000000
10064002,1000000
10064061,1000000
10064088,1000000
10064202,1000000
10064206,1000000
10064207,1000000
10064208,1000000
10064244,1000000
10064244,1000000
10064254,1000000
10064285,1000000
10064335,1000000
10064402,1000000
10064402,1000000
10064421,1000000
10064482,1000000
10064487,1000000
10064487,1000000
10064487,1000000
10064522,1000000
10064541,1000000
10064542,1000000
10064547,1000000
10064551,1000000
10064597,1000000
10064598,1000000
10064598,1000000
10064606,1000000
10064657,1000000
10064657,1000000
10064657,1000000
10064657,1000000
10064657,1000000
10064667,1000000
10064727,1000000
10064778,1000000
10064793,1000000
10064793,1000000
10064793,1000000
10064808,1000000
10064839,1000000
10064839,1000000
10064906,1000000
10064906,1000000
10064907,1000000
10064907,1000000
10064907,1000000
10064929,1000000
10065058,1000000
10065059,1000000
10065060,1000000
10065119,1000000
10065119,1000000
10065119,1000000
10065119,1000000
10065120,1000000
10065120,1000000
10065120,1000000
10065120,1000000
10065272,1000000
10065272,1000000
10065272,1000000
10065272,1000000
10065272,1000000
10065285,1000000
10065344,1000000
10065346,1000000
10065494,1000000
10065494,1000000
10065499,1000000
10065760,1000000
10065903,1000000
10065907,1000000
10065907,1000000
10065907,1000000
10065907,1000000
10065935,1000000
10065975,1000000
10065975,1000000
10065975,1000000
10065975,1000000
10065975,1000000
10065975,1000000
10065978,1000000
10066023,1000000
10066035,1000000
10066090,1000000
10066090,1000000
10066095,1000000
10066095,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066203,1000000
10066216,1000000
10066221,1000000
10066221,1000000
10066235,1000000
10066235,1000000
10066293,1000000
10066328,1000000
10066330,1000000
10066330,1000000
10066333,1000000
10066333,1000000
10066393,1000000
10066393,1000000
10066439,1000000
10066439,1000000
10066439,1000000
10066611,1000000
10066679,1000000
10066679,1000000
10066790,1000000
10066790,1000000
10066790,1000000
10066837,1000000
10067010,1000000
10067118,1000000
10067266,1000000
10067266,1000000
10067266,1000000
10067266,1000000
10067290,1000000
10067291,1000000
10067321,1000000
10067357,1000000
10067363,1000000
10067363,1000000
10067363,1000000
10067397,1000000
10067475,1000000
10067475,1000000
10067475,1000000
10067475,1000000
10067475,1000000
10067604,1000000
10067604,1000000
10067660,1000000
10067660,1000000
10067987,1000000
10067988,1000000
10068024,1000000
10068024,1000000
10068024,1000000
10068205,1000000
10068205,1000000
10068251,1000000
10068315,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068328,1000000
10068493,1000000
10068498,1000000
10068498,1000000
10068514,1000000
10068571,1000000
10068619,1000000
10068619,1000000
10068659,1000000
10068659,1000000
10068731,1000000
10068749,1000000
10068815,1000000
10068978,1000000
10068978,1000000
10068995,1000000
10068995,1000000
10069082,1000000
10069119,1000000
10069155,1000000
10069155,1000000
10069231,1000000
10069256,1000000
10069415,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069490,1000000
10069515,1000000
10069633,1000000
10069633,1000000
10069633,1000000
10069633,1000000
10069643,1000000
10069644,1000000
10069663,1000000
10069663,1000000
10069726,1000000
10069741,1000000
10069784,1000000
10069880,1000000
10069880,1000000
10069909,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10069924,1000000
10070011,1000000
10070082,1000000
10070082,1000000
10070242,1000000
10070242,1000000
10070242,1000000
10070352,1000000
10070353,1000000
10070353,1000000
10070353,1000000
10070354,1000000
10070354,1000000
10070354,1000000
10070354,1000000
10070354,1000000
10070489,1000000
10070501,1000000
10070510,1000000
10070510,1000000
10070577,1000000
10070664,1000000
10070668,1000000
10070668,1000000
10070668,1000000
10070674,1000000
10070749,1000000
10070796,1000000
10070932,1000000
10070932,1000000
10070932,1000000
10070932,1000000
10070932,1000000
