K,P,C,r_y
10003689.0,110980-01_10000761_0704,266,-80.78
10004337.0,110980-01_10000761_0704,267,-0.5
10007980.0,110980-01_10000761_0704,268,-0.1
10544332.0,110980-01_10000761_0704,269,-0.16899999999999998
10937250.0,110980-01_10000761_0704,270,-21.38
10003689.0,110980-01_10000762_0700,271,-39.5
10007980.0,110980-01_10000762_0700,272,-0.1
10544332.0,110980-01_10000762_0700,273,-0.095
10937265.0,110980-01_10000762_0700,274,-62.3
10003689.0,110980-01_10000762_0701,275,-39.5
10007980.0,110980-01_10000762_0701,276,-0.1
10544332.0,110980-01_10000762_0701,277,-0.095
10937265.0,110980-01_10000762_0701,278,-62.3
10003689.0,110980-01_10000762_0702,279,-39.5
10007980.0,110980-01_10000762_0702,280,-0.1
10544332.0,110980-01_10000762_0702,281,-0.095
10937265.0,110980-01_10000762_0702,282,-62.3
10003689.0,110980-01_10000762_0704,283,-39.5
10007980.0,110980-01_10000762_0704,284,-0.1
10544332.0,110980-01_10000762_0704,285,-0.095
10937265.0,110980-01_10000762_0704,286,-62.3
10005214.0,123510-05_10000768_1000,287,-9.907
10012569.0,123510-05_10000768_1000,288,-90.09299999999999
10001659.0,123510-02_10000781_1000,289,-15.01
10048948.0,123510-02_10000781_1000,290,-49.006
10069633.0,123510-02_10000781_1000,291,-3.3139999999999996
10411137.0,123510-02_10000781_1000,292,-0.09699999999999999
10003331.0,124930-17_10000786_1700,293,-71.122
10040997.0,124930-17_10000786_1700,294,-0.22
10049624.0,124930-17_10000786_1700,295,-1.15
10297609.0,124930-17_10000786_1700,296,-24.39
10554480.0,124930-17_10000786_1700,297,-97.024
10606954.0,124930-17_10000786_1700,298,-0.43
10885356.0,124930-17_10000786_1700,299,-111.34100000000001
10885360.0,124930-17_10000786_1700,300,157.0
10003331.0,124930-17_10000786_1701,301,-61.09
10040997.0,124930-17_10000786_1701,302,-0.221
10049624.0,124930-17_10000786_1701,303,-1.6
10084332.0,124930-17_10000786_1701,304,-79.65
10297609.0,124930-17_10000786_1701,305,-24.53
10606954.0,124930-17_10000786_1701,306,-0.43
10003331.0,124930-17_10000786_1710,307,-71.122
10040997.0,124930-17_10000786_1710,308,-0.22
10049624.0,124930-17_10000786_1710,309,-1.15
10297609.0,124930-17_10000786_1710,310,-24.39
10554480.0,124930-17_10000786_1710,311,-97.024
10606954.0,124930-17_10000786_1710,312,-0.43
10885356.0,124930-17_10000786_1710,313,-111.34100000000001
10885360.0,124930-17_10000786_1710,314,157.0
10003331.0,124930-70_10000786_7000,315,-60.74
10040997.0,124930-70_10000786_7000,316,-0.22
10049624.0,124930-70_10000786_7000,317,-1.6
10297609.0,124930-70_10000786_7000,318,-24.39
10554480.0,124930-70_10000786_7000,319,-97.024
10606954.0,124930-70_10000786_7000,320,-0.43
10008019.0,124930-05_10000811_0500,321,-6.617999999999999
10017668.0,124930-05_10000811_0500,322,-30.588
10040997.0,124930-05_10000811_0500,323,-0.147
10084332.0,124930-05_10000811_0500,324,-46.159
10554480.0,124930-05_10000811_0500,325,-1.176
10554567.0,124930-05_10000811_0500,326,-60.441
11001012.0,124930-05_10000811_0500,327,-0.147
10003689.0,111180-09_10000836_0300,328,-4.0
10080978.0,111180-09_10000836_0300,329,-97.0
10095915.0,123530-01_10000839_0500,330,-26.43
