P,u
123510-05_10007287_1000,15984.0
123530-01_10007402_0500,17064.504
123530-02_10007402_0800,7303.8
111230-06_10007932_0100,30583.956
111230-06_10007932_0200,30583.956
124930-13_10007968_1300,2676.924
124930-70_10007968_7000,1490.688
124930-70_10007968_7010,1490.688
110980-01_10007979_0700,66840.0
110980-01_10007979_0701,66840.0
110980-01_10007979_0702,66840.0
110980-01_10007979_0703,66840.0
110980-01_10007979_0704,66840.0
110980-01_10007979_0705,66840.0
110980-03_10007979_0800,31080.0
123550-01_10007987_1000,12180.0
111580-04_10008026_0400,2481.6
111230-06_10008111_0100,33843.9
111230-06_10008111_0200,33843.9
111600-06_10008122_0500,120.0
111600-05_10008124_0600,110.004
111640-03_10008284_0300,5810.004
111640-08_10008284_0800,1740.0
162590-01_10008321_0200,277.2
111450-01_10008425_0101,106820.052
110980-01_10008444_0701,72000.0
110980-01_10008444_0702,72000.0
124930-12_10008775_1200,2275.56
124930-12_10008775_1210,2275.56
124930-13_10008775_1300,2271.516
124930-13_10008775_1310,2271.516
110980-01_10008869_0603,150960.0
110980-01_10008869_0605,150960.0
110980-01_10008869_0606,150960.0
110980-01_10008869_0607,150960.0
110980-01_10008869_0900,150960.0
110980-02_10008869_0200,33600.0
110980-02_10008869_0201,14400.0
110980-02_10008869_0800,33600.0
110980-01_10008995_0701,92040.0
110980-01_10008995_0702,92040.0
111260-02_10009397_0510,224233.536
111260-02_10009397_0520,224233.536
111260-02_10009397_0530,224233.536
111260-11_10009397_0500,148857.0
111220-05_10009482_0500,9000.0
111640-03_10009490_0300,7280.004
135120-07_10009668_0200,1533.372
123530-05_10009700_0900,50971.824
123530-07_10009700_0800,27437.724
123410-15_10009946_0200,54096.0
111580-01_10009994_0500,10858.068
111580-04_10009994_0400,3564.0
111220-05_10010138_0500,10800.0
123590-06_10010175_0100,5700.0
110980-01_10010189_0700,247920.0
110980-01_10010189_0701,247920.0
110980-01_10010189_0702,247920.0
110980-01_10010189_0705,247920.0
110980-01_10010278_0700,101040.0
110980-01_10010278_0701,101040.0
110980-01_10010278_0702,101040.0
110980-01_10010278_0707,101040.0
110980-02_10010278_0200,26640.0
110980-02_10010278_0201,26640.0
111700-09_10010311_0200,560.004
134130-01_10010329_1500,291.996
111640-01_10010385_0100,23799.99996
110980-01_10010562_0700,255720.0
110980-01_10010562_0701,255720.0
110980-01_10010562_0703,255720.0
110980-01_10010562_0704,255720.0
135100-01_10010598_0500,2079.0
124930-13_10010680_1300,3179.484
