K,P,C,r_x
10813496,123510-05_10813496_1200,22983,100.0
10814262,111450-04_10814262_0040,22984,100.0
10814262,111450-04_10814262_0040,22985,100.0
10814262,111450-04_10814262_0040,22986,100.0
10814262,111450-04_10814262_0040,22987,100.0
10814262,111450-04_10814262_0040,22988,100.0
10814262,111450-04_10814262_0040,22989,100.0
10814262,111450-04_10814262_0040,22990,100.0
10814262,111450-04_10814262_0040,22991,100.0
10814262,111450-04_10814262_0040,22992,100.0
10814728,124930-21_10814728_2100,22993,100.0
10814728,124930-21_10814728_2100,22994,100.0
10814728,124930-21_10814728_2100,22995,100.0
10814907,111230-06_10814907_0100,22996,100.0
10814907,111230-06_10814907_0100,22997,100.0
10814907,111230-06_10814907_0100,22998,100.0
10814907,111230-06_10814907_0100,22999,100.0
10814907,111230-06_10814907_0100,23000,100.0
10814907,111230-06_10814907_0100,23001,100.0
10814907,111230-06_10814907_0100,23002,100.0
10814907,111230-06_10814907_0100,23003,100.0
10814907,111230-06_10814907_0100,23004,100.0
10814907,111230-06_10814907_0100,23005,100.0
10814907,111230-06_10814907_0100,23006,100.0
10814907,111230-06_10814907_0100,23007,100.0
10814907,111230-06_10814907_0100,23008,100.0
10814907,111230-06_10814907_0100,23009,100.0
10814907,111230-06_10814907_0100,23010,100.0
10814907,111230-06_10814907_0200,23011,100.0
10814907,111230-06_10814907_0200,23012,100.0
10814907,111230-06_10814907_0200,23013,100.0
10814907,111230-06_10814907_0200,23014,100.0
10814907,111230-06_10814907_0200,23015,100.0
10814907,111230-06_10814907_0200,23016,100.0
10814907,111230-06_10814907_0200,23017,100.0
10814907,111230-06_10814907_0200,23018,100.0
10814907,111230-06_10814907_0200,23019,100.0
10814907,111230-06_10814907_0200,23020,100.0
10814907,111230-06_10814907_0200,23021,100.0
10814907,111230-06_10814907_0200,23022,100.0
10814907,111230-06_10814907_0200,23023,100.0
10814907,111230-06_10814907_0200,23024,100.0
10814907,111230-06_10814907_0200,23025,100.0
10816751,111030-07_10816751_1000,23026,100.0
10816751,111030-07_10816751_1000,23027,100.0
10817484,123510-03_10817484_1000,23028,100.0
10817484,123510-03_10817484_1000,23029,100.0
10817484,123510-03_10817484_1000,23030,100.0
10817484,123510-03_10817484_1000,23031,100.0
10817484,123510-03_10817484_1000,23032,100.0
10817484,123510-03_10817484_1000,23033,100.0
10817484,123510-03_10817484_1000,23034,100.0
10817484,123510-03_10817484_1000,23035,100.0
10817484,123510-03_10817484_1000,23036,100.0
10817484,123510-03_10817484_1000,23037,100.0
10817484,123510-03_10817484_1000,23038,100.0
10818158,100600-01_10818158_0110,23039,100.0
10818158,100600-01_10818158_0110,23040,100.0
10818158,100600-01_10818158_0120,23041,100.0
10818158,100600-01_10818158_0120,23042,100.0
10818163,151210-01_10818163_0100,23043,100.0
10818163,151210-01_10818163_0100,23044,100.0
10825997,123510-02_10825997_1200,23045,100.0
10825997,123510-02_10825997_1200,23046,100.0
10825997,123510-02_10825997_1200,23047,100.0
10825997,123510-02_10825997_1200,23048,100.0
10825997,123510-02_10825997_1200,23049,100.0
10825997,123510-02_10825997_1200,23050,100.0
10825997,123510-02_10825997_1200,23051,100.0
10825997,123510-02_10825997_1200,23052,100.0
10826726,123020-24_10826726_0700,23053,100.0
10826726,123020-24_10826726_0700,23054,100.0
10826726,123020-24_10826726_0700,23055,100.0
10826726,123020-24_10826726_0700,23056,100.0
10826726,123020-24_10826726_0700,23057,100.0
10826726,123020-24_10826726_0700,23058,100.0
10826726,123020-24_10826726_0700,23059,100.0
10826726,123020-24_10826726_0700,23060,100.0
10827345,111230-06_10827345_0300,23061,100.0
10827345,111230-06_10827345_0300,23062,100.0
10827345,111230-06_10827345_0300,23063,100.0
10827345,111230-06_10827345_0300,23064,100.0
10827345,111230-06_10827345_0300,23065,100.0
10827345,111230-06_10827345_0300,23066,100.0
10827345,111230-06_10827345_0300,23067,100.0
10827345,111230-06_10827345_0300,23068,100.0
10827345,111230-06_10827345_0300,23069,100.0
10827345,111230-06_10827345_0300,23070,100.0
10827345,111230-06_10827345_0300,23071,100.0
10827345,111230-06_10827345_0400,23072,100.0
10827345,111230-06_10827345_0400,23073,100.0
10827345,111230-06_10827345_0400,23074,100.0
10827345,111230-06_10827345_0400,23075,100.0
10827345,111230-06_10827345_0400,23076,100.0
10827345,111230-06_10827345_0400,23077,100.0
10827345,111230-06_10827345_0400,23078,100.0
10827345,111230-06_10827345_0400,23079,100.0
10827345,111230-06_10827345_0400,23080,100.0
10827345,111230-06_10827345_0400,23081,100.0
10827345,111230-06_10827345_0400,23082,100.0
10827729,123580-01_10827729_0100,23083,100.0
10827729,123580-01_10827729_0100,23084,100.0
10827729,123580-01_10827729_0100,23085,100.0
10827729,123580-01_10827729_0100,23086,100.0
10827729,123580-01_10827729_0100,23087,100.0
10827730,123580-01_10827730_0100,23088,100.0
10827730,123580-01_10827730_0100,23089,100.0
10827730,123580-01_10827730_0100,23090,100.0
10827730,123580-01_10827730_0100,23091,100.0
10827730,123580-01_10827730_0100,23092,100.0
10828572,100610-70_10828572_0110,23093,100.0
10828576,100610-50_10828576_0110,23094,100.0
10828576,100610-50_10828576_0110,23095,100.0
10828576,100610-50_10828576_0120,23096,100.0
10828576,100610-50_10828576_0120,23097,100.0
10828576,100610-50_10828576_0130,23098,100.0
10828576,100610-50_10828576_0130,23099,100.0
10828576,100610-50_10828576_0140,23100,100.0
10828576,100610-50_10828576_0140,23101,100.0
10828794,111120-07_10828794_0300,23102,100.0
10828794,111120-07_10828794_0300,23103,100.0
10828794,111120-07_10828794_0300,23104,100.0
10828794,111120-07_10828794_0300,23105,100.0
10828794,111120-07_10828794_0300,23106,100.0
10828794,111120-07_10828794_0300,23107,100.0
10828794,111120-07_10828794_0300,23108,100.0
10829028,123530-05_10829028_0800,23109,100.0
10829028,123530-05_10829028_0800,23110,100.0
10829028,123530-05_10829028_0800,23111,100.0
10829333,135150-06_10829333_0100,23112,100.0
10829333,135150-06_10829333_0100,23113,100.0
10829333,135150-06_10829333_0100,23114,100.0
10829341,135150-06_10829341_0100,23115,100.0
10829341,135150-06_10829341_0100,23116,100.0
10829348,135150-02_10829348_0100,23117,100.0
10829348,135150-02_10829348_0100,23118,100.0
10829349,135150-06_10829349_0100,23119,100.0
10829349,135150-06_10829349_0100,23120,100.0
10829349,135150-06_10829349_0100,23121,100.0
10831370,111260-01_10831370_0200,23122,100.0
10831370,111260-01_10831370_0200,23123,100.0
10831370,111260-01_10831370_0200,23124,100.0
10831370,111260-01_10831370_0200,23125,100.0
10831370,111260-01_10831370_0200,23126,100.0
10831370,111260-01_10831370_0200,23127,100.0
10831370,111260-01_10831370_0200,23128,100.0
10831370,111260-01_10831370_0200,23129,100.0
10831370,111260-01_10831370_0200,23130,100.0
10831370,111260-01_10831370_0200,23131,100.0
10831370,111260-01_10831370_0200,23132,100.0
10831370,111260-11_10831370_0300,23133,100.0
10831370,111260-11_10831370_0300,23134,100.0
10831370,111260-11_10831370_0300,23135,100.0
10831370,111260-11_10831370_0300,23136,100.0
10831370,111260-11_10831370_0300,23137,100.0
10831370,111260-11_10831370_0300,23138,100.0
10831370,111260-11_10831370_0300,23139,100.0
10831370,111260-11_10831370_0300,23140,100.0
10831370,111260-11_10831370_0300,23141,100.0
10831370,111260-11_10831370_0300,23142,100.0
10831370,111260-11_10831370_0300,23143,100.0
10836361,110980-01_10836361_0100,23144,100.0
10836361,110980-01_10836361_0100,23145,100.0
10836361,110980-01_10836361_0100,23146,100.0
10836361,110980-01_10836361_0100,23147,100.0
10836361,110980-01_10836361_0100,23148,100.0
10836361,110980-01_10836361_0100,23149,100.0
10836720,123080-12_10836720_0200,23150,100.0
10836720,123080-12_10836720_0200,23151,100.0
10836720,123080-06_10836720_0400,23152,100.0
10836720,123080-06_10836720_0400,23153,100.0
10837093,123520-15_10837093_0100,23154,100.0
10837093,123520-15_10837093_0100,23155,100.0
10837145,123510-02_10837145_1000,23156,100.0
10837145,123510-02_10837145_1000,23157,100.0
10837145,123510-02_10837145_1000,23158,100.0
10837145,123510-02_10837145_1000,23159,100.0
10837917,100680-10_10837917_0110,23160,100.0
10837917,100680-10_10837917_0110,23161,100.0
10837917,100680-10_10837917_0110,23162,100.0
10837917,100680-10_10837917_0110,23163,100.0
10837917,100680-10_10837917_0210,23164,100.0
10837917,100680-10_10837917_0210,23165,100.0
10837917,100680-10_10837917_0210,23166,100.0
10837917,100680-10_10837917_0210,23167,100.0
10837936,124270-01_10837936_0100,23168,100.0
10837936,124270-01_10837936_0100,23169,100.0
10837936,124270-01_10837936_0100,23170,100.0
10837936,124270-01_10837936_0100,23171,100.0
10837940,123580-02_10837940_0100,23172,100.0
10837940,123580-02_10837940_0100,23173,100.0
10837940,123580-02_10837940_0100,23174,100.0
10837940,123580-02_10837940_0100,23175,100.0
10837940,123580-02_10837940_0100,23176,100.0
10838035,134130-08_10838035_1300,23177,100.0
10838035,134130-08_10838035_1300,23178,100.0
10838035,134130-08_10838035_1300,23179,100.0
10838035,134130-08_10838035_1300,23180,100.0
10838035,134130-08_10838035_1300,23181,100.0
10838703,124270-01_10838703_0100,23182,100.0
10838703,124270-01_10838703_0100,23183,100.0
10838703,124270-01_10838703_0100,23184,100.0
10838703,124270-01_10838703_0100,23185,100.0
10839115,111230-06_10839115_1111,23186,100.0
10839115,111230-06_10839115_1111,23187,100.0
10839115,111230-06_10839115_1111,23188,100.0
10839115,111230-06_10839115_1111,23189,100.0
10839115,111230-06_10839115_1111,23190,100.0
10839115,111230-06_10839115_1111,23191,100.0
10839115,111230-06_10839115_1111,23192,100.0
10839115,111230-06_10839115_1111,23193,100.0
10839115,111230-06_10839115_1111,23194,100.0
10839115,111230-06_10839115_1111,23195,100.0
10839115,111230-06_10839115_1111,23196,100.0
10839115,111230-06_10839115_1111,23197,100.0
10839115,111230-06_10839115_1111,23198,100.0
10839115,111230-06_10839115_1111,23199,100.0
10839115,111230-06_10839115_1111,23200,100.0
10839115,111230-06_10839115_1111,23201,100.0
10839115,111230-06_10839115_1111,23202,100.0
10839311,111260-01_10839311_0100,23203,100.0
10839311,111260-01_10839311_0100,23204,100.0
10839311,111260-01_10839311_0100,23205,100.0
