K,P
10000586,111350-14_10716912_6410
10000586,111350-14_10852161_6408
10000586,111350-14_10856416_6408
10000586,111350-14_10873445_6410
10000586,111350-14_10919667_6410
10000586,111350-14_10920216_6410
10000586,111350-14_10929207_6410
10000586,111350-14_10933616_6410
10000586,111350-14_10992117_6408
10000586,111350-14_11017455_6408
10000586,111350-14_10584121_6511
10000586,111350-14_10983407_6410
10000586,111350-14_11035020_6410
10000586,111350-16_10004573_6610
10000586,111350-16_10201669_6610
10000586,111350-16_10514778_6610
10000586,111350-16_10514800_6610
10000586,111350-16_10544997_6611
10000586,111350-16_10582809_6610
10000586,111350-16_10584040_6609
10000586,111350-16_10584117_6611
10000586,111350-16_10585404_6609
10000586,111350-16_10585641_6610
10000586,111350-16_10588306_6611
10000586,111350-16_10716912_6610
10000586,111350-16_10719907_6611
10000586,111350-16_10856383_6609
10000586,111350-16_10915729_6610
10000586,111350-16_10919667_6610
10000586,111350-16_10919669_6610
10000586,111350-16_10919669_6710
10000586,111350-16_10919680_6610
10000586,111350-16_10920216_6610
10000586,111350-16_10920289_6610
10000586,111350-16_10920411_6610
10000586,111350-16_10920431_6610
10000586,111350-16_10920432_6610
10000586,111350-16_10925239_6610
10000586,111350-16_10926074_6610
10000586,111350-16_10926075_6610
10000586,111350-16_10929207_6610
10000586,111350-16_10931438_6609
10000586,111350-16_10933615_6610
10000586,111350-16_10933616_6610
10000586,111350-16_10933617_6610
10000586,111350-16_10933820_6610
10000586,111350-16_10936605_6610
10000586,111350-16_10985140_6610
10000586,111350-16_11000008_6610
10000586,111350-16_11008117_6610
10000586,111350-16_11035020_6611
10000586,111350-16_10584121_6610
10000586,111350-17_10004573_6710
10000586,111350-17_10011664_6711
10000586,111350-17_10016851_6708
10000586,111350-17_10076425_6711
10000586,111350-17_10201669_6710
10000586,111350-17_10211386_6710
10000586,111350-17_10213712_6711
10000586,111350-17_10514778_6711
10000586,111350-17_10514800_6711
10000586,111350-17_10584117_6710
10000586,111350-17_10584121_6710
10000586,111350-17_10585404_6708
10000586,111350-17_10585445_6708
10000586,111350-17_10585641_6710
10000586,111350-17_10588306_6711
10000586,111350-17_10716912_6710
10000586,111350-17_10873445_6710
10000586,111350-17_10919667_6710
10000586,111350-17_10919680_6710
10000586,111350-17_10920216_6710
10000586,111350-17_10920411_6710
10000586,111350-17_10924463_6711
10000586,111350-17_10929207_6710
10000586,111350-17_10933615_6710
10000586,111350-17_10933616_6710
10000586,111350-17_10933617_6710
10000586,111350-17_11031270_6710
10000586,111350-17_11031271_6710
10000586,111350-17_11031272_6710
10000586,111350-17_11031273_6710
10000586,111350-17_11035020_6710
10000586,111350-17_10077278_6711
10000586,111350-18_10016851_6814
10000586,111350-18_10211386_6814
10000586,111350-18_10514778_6815
10000586,111350-18_10514800_6815
10000586,111350-18_10544997_6814
10000586,111350-18_10582809_6816
10000586,111350-18_10584040_6816
10000586,111350-18_10584117_6814
10000586,111350-18_10584121_6814
10000586,111350-18_10585404_6814
10000586,111350-18_10585445_6814
10000586,111350-18_10585641_6814
10000586,111350-18_10588306_6817
10000586,111350-18_10713425_6408
10000586,111350-18_10713425_6817
10000586,111350-18_10992117_6814
10000586,111350-18_11002941_6814
10000586,111350-18_11004633_6815
10000586,111350-18_10983407_6814
10000586,111350-18_11035020_6814
10000586,111350-18_10077278_6817
10000586,111360-03_10000586_1000
10000586,111360-04_10757683_1000
10000586,111400-02_10514778_4230
10000586,111400-02_10588306_4230
10000586,111400-02_10713425_4230
10000586,111400-02_10077278_6230
10000586,111400-02_10077278_4230
10000586,111400-03_10004573_4310
10000586,111400-03_10201669_4310
10000586,111400-03_10514778_4310
10000586,111400-03_10584024_4310
10000586,111400-03_10584168_4310
10000586,111400-03_10584170_4310
10000586,111400-03_10584172_4310
10000586,111400-03_10585296_4310
10000586,111400-03_10599536_4309
10000586,111400-03_10716916_4310
10000586,111400-03_10716969_4310
10000586,111400-03_10759038_4310
10000586,111400-03_10759039_4310
10000586,111400-03_10933615_4309
10000586,111400-03_10933616_4309
10000586,111400-03_10933617_4309
10000586,111400-03_10594020_4310
10000586,111400-03_10919667_4310
10000586,111400-03_10919669_4310
10000586,111400-03_10919680_4310
10000586,111500-01_10003100_0200
10000586,111500-01_10935951_0100
10000598,135150-07_10020317_0400
10000598,135150-10_10000598_0900
10000598,135150-15_10000598_0600
10000598,135150-17_10000598_0800
10000598,135150-17_10584838_0800
10000605,123020-03_10061950_0700
10000644,110980-02_10000644_0701
10000644,111240-05_10213571_0100
10000647,110980-02_10000647_0700
10000647,110980-02_10000647_0702
10000647,110980-02_10205104_0700
10000685,123510-02_10000685_1000
10000691,124600-06_10000691_0600
10000705,123530-01_10014529_0500
10000705,123530-01_10209605_0500
10000705,123530-01_10209605_0501
10000705,123600-01_10228315_0300
10000705,123600-01_10228315_0301
10000708,123540-06_10000708_0200
10000712,111040-04_10000712_0200
10000712,123020-24_10567915_0800
10000712,123020-24_10603819_0700
10000712,123020-24_10998800_0700
10000712,123530-04_11011890_0200
10000712,111040-01_10000712_0500
10000713,123020-24_10236902_0900
10000713,123020-24_10567915_0800
10000713,123020-72_10069909_0700
10000713,123020-73_10097091_0700
10000713,123350-82_10203484_0300
10000713,123680-07_10234302_0400
10000713,123680-07_10264197_0300
10000713,123680-07_10264197_0400
10000713,123680-08_10851404_0300
10000713,123680-12_10584292_0100
10000713,123680-12_10592242_1200
10000713,124860-05_10928962_0200
10000713,151210-95_10000713_0200
10000713,162590-01_10008321_0200
10000714,123540-08_10000714_0200
10000715,123020-30_10932973_1100
10000715,123020-30_11030361_0700
10000715,123530-05_10932976_0800
10000715,123550-10_10511687_1000
10000715,124600-07_10000715_0700
10000752,151310-01_10000752_0400
10000756,123510-05_10007287_1000
10000756,123510-05_10007287_1000
10000756,123510-05_10559454_1100
10000756,123530-05_10000756_0800
10000756,123530-05_10000756_0801
10000756,123530-05_10000756_0802
10000756,135120-16_10205109_0200
10000756,135120-16_10544648_0200
10000757,110980-01_10000757_0700
10000757,110980-01_10000757_0703
10000757,110980-01_10000757_0707
10000757,110980-01_10000757_0708
10000757,110980-02_10000757_0200
10000757,110980-02_10000757_0201
10000757,110980-02_10000757_0202
10000757,123510-02_10981157_1000
10000758,110980-01_10000758_0700
10000758,110980-01_10000758_0701
10000758,110980-01_10000758_0703
10000758,110980-01_10000758_0705
10000758,110980-02_10000758_0200
10000758,110980-02_10000758_0201
10000758,110980-02_10000758_0202
10000758,123510-05_10007287_1000
10000758,123510-05_10559454_1100
10000758,123530-04_10077205_0800
10000761,110980-01_10000761_0700
10000761,110980-01_10000761_0701
10000761,110980-01_10000761_0703
10000761,110980-01_10000761_0704
10000761,110980-01_10014688_0100
10000761,134130-05_10964982_1300
10000762,110980-01_10000762_0700
10000762,110980-01_10000762_0701
10000762,110980-01_10000762_0702
10000762,110980-01_10000762_0704
10000768,100470-08_10096894_0110
10000768,123410-15_10017275_0200
10000768,123410-15_10080779_0200
10000768,123410-15_10080779_0210
10000768,123410-15_10080798_0200
10000768,123410-15_10080798_0210
10000768,123410-15_10080798_0300
10000768,123410-15_10319303_0110
10000768,123410-15_10319303_0200
10000768,123410-15_10582753_0100
10000768,123410-15_10582753_0200
10000768,123510-05_10000768_1000
10000768,134130-02_10234041_1400
10000768,134130-40_10898276_1300
10000781,123510-02_10000781_1000
10000786,124930-17_10000786_1700
10000786,124930-17_10000786_1701
10000786,124930-17_10000786_1710
10000786,124930-70_10000786_7000
10000811,124930-05_10000811_0500
10000827,136060-11_10839329_0100
10000836,111180-09_10000836_0300
10000836,111180-09_10085842_0100
10000839,123530-01_10000839_0500
10000839,123530-01_10000839_0501
10000878,135120-16_10203941_0200
10000878,135120-16_10205109_0200
10000878,135120-16_10544648_0200
10000879,135120-07_10000882_0200
10000879,135120-15_10000879_0200
10000882,135120-07_10000882_0200
10000882,135130-25_10025575_0400
10000882,135130-25_10210174_0400
10000902,111500-02_10063659_0200
10000902,111500-02_10593029_0200
10000902,111500-02_10707104_0100
10000902,111600-01_10001911_0500
10000902,123530-01_10076780_0500
10000902,123680-16_10012569_0400
10000902,123680-16_10012569_0100
10000902,124860-02_10205591_0100
10000902,124860-02_10594532_0199
10000902,124860-02_10594532_0300
10000902,124860-02_10594532_9001
10000902,124860-06_10925529_0100
10000902,124930-12_10096850_1200
10000902,124930-12_10096850_1210
10000902,124930-13_10071048_1300
10000902,124930-13_10071048_1310
10000902,124930-13_10096850_1300
10000902,124930-13_10096850_1310
10000902,124930-17_10002815_1700
10000902,124930-17_10002815_1710
10000902,124930-17_10003553_170A
10000902,124930-17_10003553_170B
10000902,124930-17_10003553_170C
10000902,124930-17_10003553_171A
10000902,124930-17_10003553_171B
10000902,124930-17_10003553_171C
10000902,124930-17_10073038_1700
10000902,124930-17_10073038_1710
10000902,124930-17_10076964_170A
10000902,124930-17_10076964_170B
10000902,124930-17_10076964_170C
10000902,124930-17_10076964_171A
10000902,124930-17_10076964_171B
10000902,124930-17_10076964_171C
10000902,124930-50_10071048_5000
10000902,124930-50_10071048_5010
10000902,124930-70_10071048_7000
10000902,124930-70_10071048_7010
10000902,151550-05_10000902_0300
