Component,ParameterCM1,Sales Product,Site CodeCM1,2013CM1,2014CM1,2015CM1,January 2015CM1,February 2015CM1,March 2015CM1,April 2015CM1,May 2015CM1,June 2015CM1,July 2015CM1,August 2015CM1,September 2015CM1,October 2015CM1,November 2015CM1,December 2015CM1,Unnamed: 22CM1,Unnamed: 23CM1,Unnamed: 24CM1,ParameterAmount,Site CodeAmount,2013Amount,2014Amount,2015Amount,January 2015Amount,February 2015Amount,March 2015Amount,April 2015Amount,May 2015Amount,June 2015Amount,July 2015Amount,August 2015Amount,September 2015Amount,October 2015Amount,November 2015Amount,December 2015Amount,Unnamed: 22Amount,Unnamed: 23Amount,Unnamed: 24Amount,SpecificCM1
10017619,CM1,30041361,50,103977.85,62807.74,141296.51,2191.21,5615.69,5222.61,36370.04,23693.74,2366.82,14427.47,17765.75,0.0,-66.44,14535.79,19641.08,0.0,0.0,0.0,Amount,50,59371.0,35620.0,58610.0,802.0,2003.0,1600.0,15621.0,8001.0,1000.0,5000.0,9820.0,0.0,0.0,5000.0,9763.0,0.0,0.0,0.0,2.4107918443951544
10017634,CM1,91226687,150,5562239.38,4803317.35,5223426.779999999,457225.93000000005,658555.0,495482.05000000005,380676.08999999997,451951.95999999996,270769.85000000003,367557.74,288289.08,404621.49,547697.62,470042.94999999995,409478.01,0.0,0.0,0.0,Amount,150,13434801.943,13520125.996,13493627.9,1185656.4,1533318.0,1312499.0,1045205.585,1245272.415,794482.0,940056.0,846235.0,1104845.5,1376374.5,1160807.7,948875.8,0.0,0.0,0.0,0.387103217808459
10017665,CM1,30035054,50,8586521.4,10250143.15,11280750.89,1086538.39,1015958.64,851981.79,961299.74,796542.63,823541.58,961016.33,1072164.48,899951.62,992626.2,1150460.11,623241.49,0.0,0.0,0.0,Amount,50,845640.5,942842.4,1002240.38,95580.2,87300.0,74340.1,80280.04,70380.0,73800.02,90000.0,94500.0,84240.02,91440.0,104760.0,55620.0,0.0,0.0,0.0,11.255534216252592
10017668,CM1,151335509,250,8416710.51,12430865.8,10498492.069999998,1254959.33,1419724.77,1439775.39,1002187.39,601385.39,624231.2799999999,925399.8699999999,590052.0800000001,879592.0800000001,809631.43,484404.21,440320.93999999994,0.0,0.0,0.0,Amount,250,22705683.0,28515038.5,24713961.0,2271540.0,2469155.0,2692985.0,1708600.0,1568560.0,1858920.0,2564780.0,1908260.0,2984421.0,2393920.0,1157880.0,1134940.0,0.0,0.0,0.0,0.42480005815336513
10017727,CM1,30089367,50,-1250350.14,-2799368.47,-1513439.92,-37978.75,-180606.81,-331600.14,-29098.5,-129718.65,-157544.0,-30184.72,-66533.23,-106018.9,-234323.4,-115675.53,-94157.29,0.0,0.0,0.0,Amount,50,27126947.0,15328836.0,17889919.0,0.0,2042249.0,1498716.0,0.0,5684370.0,3353258.0,0.0,703633.0,1002906.0,2015994.0,719220.0,869573.0,0.0,0.0,0.0,-0.08459736011102117
10017759,CM1,30037081,50,284680.26,310378.74,333766.13,26330.83,12190.11,20403.05,95898.39,7005.77,11900.11,32773.79,27709.5,37056.82,-422.55,24088.85,38735.78,0.0,0.0,0.0,Amount,50,23318.5,25574.0,25360.5,1500.0,1002.0,1650.0,7905.5,450.5,1050.0,2050.5,2250.0,2901.0,1.0,1350.0,3250.0,0.0,0.0,0.0,13.16086551921295
10017769,CM1,91100423,150,162879.65,181508.12,239424.81,34005.55,2602.18,45008.65,-38.98,21941.64,11333.12,9994.31,0.0,20544.51,56009.06,31442.71,6582.06,0.0,0.0,0.0,Amount,150,307660.0,291840.0,276260.0,46930.0,3040.0,45600.0,0.0,30970.0,15200.0,13490.0,0.0,24510.0,59090.0,30400.0,7030.0,0.0,0.0,0.0,0.8666647723159343
10017770,CM1,91100450,150,66138.52,-985.67,30821.929999999997,0.0,0.0,0.0,0.0,-3313.06,0.0,0.0,0.0,0.0,34134.99,0.0,0.0,0.0,0.0,0.0,Amount,150,134670.0,0.0,49940.0,0.0,0.0,0.0,0.0,4560.0,0.0,0.0,0.0,0.0,45380.0,0.0,0.0,0.0,0.0,0.0,0.6171792150580696
10017778,CM1,60377419,100,829098.63,779454.53,590372.03,38010.11,25944.11,12160.96,111795.0,8071.62,127298.51,42508.47,12483.98,188165.96,12098.28,-9.69,11844.72,0.0,0.0,0.0,Amount,100,72555.0,68058.5,50055.0,3420.5,2165.0,902.0,9541.0,721.0,10801.0,3600.0,901.0,15841.0,1080.0,1.5,1081.0,0.0,0.0,0.0,11.794466686644691
10017794,CM1,30042195,50,240429.04,162788.71,149839.14,-307.45,81957.78,-3400.0,18117.35,16484.58,16387.38,-171.0,-475.0,21381.51,0.0,-136.0,0.0,0.0,0.0,0.0,Amount,50,165532.0,100900.4,123145.6,0.4,55980.0,0.0,19900.0,19900.0,12165.2,0.0,0.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2167640581555492
10017820,CM1,30042240,50,126086.38,161869.76,284940.41,398.13,23134.54,40739.54,40460.0,-44.5,-962.51,14344.81,46711.49,12805.72,35540.09,-232.92,64819.95,0.0,0.0,0.0,Amount,50,12945.0,18500.0,26435.0,30.0,1915.0,3800.0,3705.0,0.0,0.0,1650.0,4700.0,1600.0,3025.0,0.0,6010.0,0.0,0.0,0.0,10.778907130697938
10017830,CM1,30042089,50,278303.37,60550.3,72682.13,6589.68,8845.11,4463.83,6838.97,4800.87,5238.7,6354.11,3187.49,4170.93,5987.36,6700.28,9312.43,0.0,0.0,0.0,Amount,50,377483.0,80905.0,87265.0,8921.0,11000.0,5500.0,8800.0,5620.0,6600.0,7702.0,4400.0,4400.0,7701.0,6721.0,9900.0,0.0,0.0,0.0,0.8328898183693348
10017848,CM1,30043949,50,13569.17,-3.2,-8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.28,0.0,0.0,0.0,0.0,Amount,50,14280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017850,CM1,91043302,150,106061.48,14051.51,41145.91,-440.56,-3.27,837.77,0.0,0.0,1313.6,3410.72,3120.67,509.83,30862.71,0.0,2322.58,0.0,0.0,0.0,Amount,150,107015.0,21763.0,17367.0,0.0,2.0,840.0,0.0,1.0,1050.0,1892.0,840.0,210.0,10640.0,2.0,1890.0,0.0,0.0,0.0,2.3692007830943744
10017860,CM1,30043943,50,22788.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,39270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017904,CM1,121633075,200,1066756.82,962206.7999999999,1532287.9700000002,141453.78000000003,118839.59,146985.89,92866.47,36644.03,90196.34,162373.15,235493.00999999998,139824.56,121614.29000000001,82020.48999999999,157982.97,0.0,0.0,0.0,Amount,200,1290262.0,1165405.5,1589852.5,135901.0,126408.5,132886.5,82186.5,53023.5,109150.0,179912.5,260266.0,132042.5,123207.5,97145.5,157722.5,0.0,0.0,0.0,0.9637925342130796
10017924,CM1,60508355,100,220179.29,182950.28,257936.56,16861.0,21226.53,22319.88,11621.2,29208.9,7762.96,28343.3,27333.14,21182.84,18018.94,23117.2,24548.76,0.0,0.0,0.0,Amount,100,463824.0,416507.5,346066.5,40660.0,29642.0,26795.0,13511.0,31167.0,8933.5,29473.5,37623.0,36671.5,22043.5,37431.0,32115.5,0.0,0.0,0.0,0.745338135878509
