K,P,r
10000440,111260-02_10709136_0300,-56.913000000000004
10000440,111260-02_10709136_0600,-56.913000000000004
10000440,111260-02_10709148_0300,-43.297
10000440,111260-02_10748892_0500,-28.467
10000440,111260-02_10748892_0600,-28.467
10000440,111260-02_10813204_0100,-19.344
10000440,111260-02_10933957_0500,-46.62
10000440,111260-02_10933957_0600,-46.62
10000440,111260-02_10955317_0600,-21.808000000000003
10000440,111260-02_10234339_0700,-15.478
10000440,111260-02_10588639_0700,-39.369
10000440,111260-02_10588639_0800,-39.369
10000440,111260-03_10001109_0510,-24.451999999999998
10000440,111260-03_10001953_0510,-34.788000000000004
10000440,111260-03_10061083_0700,-25.035999999999998
10000440,111260-03_10073709_0500,-24.052
10000440,111260-03_10206982_0610,-28.05
10000440,111260-03_10207964_0500,-24.085
10000440,111260-03_10210987_0610,-29.912
10000440,111260-03_10508450_0700,-28.276
10000440,111260-03_10813204_0700,-19.344
10000440,111260-03_10955317_0200,-21.808000000000003
10000440,111260-03_10970945_0100,-15.392999999999999
10000440,111260-03_10980711_0700,-25.698
10000440,111260-10_10000425_0500,-26.904
10000440,111260-10_10206982_0600,-28.05
10000440,111260-10_10206982_0630,-28.05
10000440,111260-10_10210987_0600,-29.912
10000440,111260-10_10210987_0630,-29.912
10000440,111260-10_10210987_0640,-29.912
10000440,111260-10_10588840_0400,-16.555
10000440,111260-10_10980711_0300,-25.698
10000440,111260-10_10980711_0600,-25.698
10000440,111260-10_10234339_0700,-16.227
10000440,111260-10_10234339_0600,-16.227
10000440,111260-11_10000411_0500,-50.54
10000440,111260-11_10009397_0500,-39.78
10000440,111260-11_10071545_0500,-40.713
10000440,111260-11_10079726_0500,-41.8
10000440,111260-11_10082944_0500,-28.478
10000440,111260-11_10082944_0510,-28.478
10000440,111260-11_10084121_0700,-25.326999999999998
10000440,111260-11_10084121_0800,-25.326999999999998
10000440,111260-11_10087992_0500,-39.44
10000440,111260-11_10087992_0540,-39.44
10000440,111260-11_10088092_0500,-20.674
10000440,111260-11_10088092_0510,-20.674
10000440,111260-11_10095240_0500,-11.825999999999999
10000440,111260-11_10095240_0600,-11.825999999999999
10000440,111260-11_10200990_0600,-48.996
10000440,111260-11_10205163_0500,-22.648000000000003
10000440,111260-11_10205163_0510,-22.648000000000003
10000440,111260-11_10205211_0500,-23.903000000000002
10000440,111260-11_10205211_0600,-23.903000000000002
10000440,111260-11_10207201_0500,-24.28
10000440,111260-11_10207201_0600,-24.28
10000440,111260-11_10208359_0500,-40.374
10000440,111260-11_10208359_0510,-40.374
10000440,111260-11_10209908_0500,-15.673
10000440,111260-11_10209908_0510,-15.673
10000440,111260-11_10211142_0500,-20.947
10000440,111260-11_10211142_0510,-20.947
10000440,111260-11_10233814_0500,-39.115
10000440,111260-11_10233814_0510,-39.115
10000440,111260-11_10606773_0300,-22.618000000000002
10000440,111260-11_10606773_0400,-22.618000000000002
10000440,111260-11_10831370_0300,-2.263
10000440,111260-11_10955317_0400,-21.808000000000003
10000440,111260-11_10970945_0600,-15.392999999999999
10000440,111260-11_10970945_0700,-15.392999999999999
10000440,111260-11_10975650_0400,-10.652999999999999
10000440,111260-11_10975650_0500,-10.652999999999999
10000440,111260-11_10588639_0700,-39.369
10000440,111260-11_10588639_0800,-39.369
10000440,111460-01_10000440_0101,100.0
10000440,151450-01_10069643_0100,-37.0
10000441,111230-06_10063694_0600,-4.686
10000441,111230-06_10063713_0100,-14.751
10000441,111230-06_10063713_0200,-14.751
10000441,111230-06_10067660_0100,-4.941
10000441,111230-06_10067660_0200,-4.941
10000441,111230-06_10077490_0100,-24.615
10000441,111230-06_10077490_0200,-24.615
10000441,111230-06_10087071_0100,-14.302999999999999
10000441,111230-06_10087071_0200,-14.302999999999999
10000441,111230-06_10211150_0100,-41.343
10000441,111230-06_10211150_0200,-41.343
10000441,111230-06_10603449_0100,-2.55
10000441,111230-06_10603449_0300,-2.55
10000441,111230-06_10739817_0200,-4.775
10000441,111230-06_10739817_0300,-4.775
10000441,111230-06_10814907_0100,-4.188
10000441,111230-06_10814907_0200,-4.188
10000441,111230-06_10839115_1111,-4.498
10000441,111230-06_10861977_1111,-18.809
10000441,111230-06_10923977_0100,-12.633
10000441,111230-06_11001698_1111,-3.9760000000000004
10000441,111230-06_11001837_1111,-35.965
10000441,111230-06_11010808_1111,-3.735
10000441,111230-06_11019881_1111,-4.329
10000441,111230-06_10999744_1111,-41.146
10000441,111230-06_10999744_0100,-40.718
10000441,111240-21_10506855_0300,-30.881
10000446,111800-01_10001703_0100,-107.5
10000446,111800-01_10911524_0100,-107.5
10000446,111810-01_10000446_0100,100.0
10000446,111860-40_10076484_0071,-0.11
10000446,111860-40_10860884_0070,-0.11
10000446,111860-40_10860884_0081,-1.7
10000446,111860-40_10869482_0071,-0.11
10000461,123680-05_10911159_0400,-0.001
10000461,123680-05_10911159_0400,-67.4
10000461,123680-23_10911159_0500,-66.389
10000464,135120-10_10015258_0300,-154.0
10000464,135120-10_10075817_0100,-214.33
10000464,135120-10_10086963_0100,-248.77
10000464,135120-10_10261960_0100,-200.0
10000464,135120-10_10954523_0100,-214.33
10000467,123540-05_10006066_0100,-60.0
10000467,124600-06_10000467_0100,100.0
10000467,124600-06_10000467_0700,100.0
10000468,110320-04_10000468_0100,100.0
10000468,110320-04_10000468_0200,100.0
10000474,124240-01_10000474_1000,100.0
10000474,124550-01_10555858_1000,-74.2
10000476,111040-04_10000712_0200,-80.0
10000476,111360-01_10564628_1000,-64.824
10000476,111700-03_10003670_0500,-165.0
10000476,124240-01_10000476_1000,100.0
10000476,124270-01_10077451_0500,-67.15
10000476,124870-03_10061329_0500,-11.46
10000476,124870-03_11022888_0100,-11.46
10000476,124870-16_10211758_0100,-18.66
10000476,111040-01_10000712_0500,-80.0
10000484,111180-08_10000484_0300,100.0
10000484,111180-08_10608407_0100,-85.0
10000484,111190-01_10205499_0400,-16.362000000000002
10000484,111190-01_10205499_0401,-16.362000000000002
10000484,111190-01_10205499_0402,-16.362000000000002
10000484,111190-01_10849141_0100,-47.015
10000484,111190-01_10849141_0101,-47.015
10000484,111190-01_10849141_0102,-47.015
10000484,111190-01_10990438_0100,-18.201
10000484,111190-01_10990438_0101,-18.201
10000484,111190-01_10990438_0102,-18.201
10000484,111190-03_10205499_0300,-16.36
10000484,111190-03_10205499_0301,-16.36
10000484,111190-03_10848567_0400,-3.0239999999999996
10000484,111190-03_10990438_0300,-18.201
10000484,111240-06_11018259_0100,-0.66
10000484,111580-04_10062585_0400,-75.0
10000484,123020-24_10962223_0700,-0.8
10000484,123020-24_11006316_0100,-0.5529999999999999
10000484,123590-06_11016416_0100,-0.655
10000511,123520-07_10000511_0101,100.0
10000533,123410-15_10000533_0100,100.0
10000533,123410-15_10000533_0110,100.0
10000553,111800-01_10001703_0100,3.8
10000553,111800-01_10911524_0100,3.8
10000553,140500-01_10001181_0500,-8.005
10000554,123410-15_10014806_0200,-0.001
10000554,123410-15_10014806_0210,-0.001
10000554,123410-15_10071258_0300,-0.002
10000560,123550-10_10219791_1000,-0.133
10000561,123550-09_10067291_1000,-0.5
