K,P,h
10000566,124270-01_10963394_0100,1
10000566,111040-06_10202334_0100,1
10000566,111500-01_10071922_0200,1
10000566,111040-06_10000585_0700,1
10000566,123080-08_10594895_0200,1
10000574,110320-04_10000468_0100,1
10000574,110320-04_10000468_0200,1
10000574,110320-04_10076196_0300,1
10000574,110320-04_10208979_0100,1
10000579,111150-07_10064551_0100,1
10000585,124260-06_10544185_0400,1
10000585,111640-08_10086915_0800,1
10000585,111640-03_10086915_0330,1
10000585,111610-04_10544021_0600,1
10000585,111610-04_10068571_0600,1
10000585,111610-04_10606510_0100,1
10000585,111610-01_10598137_0100,1
10000586,111350-17_11031272_6710,1
10000586,111350-17_11031273_6710,1
10000586,111350-17_11035020_6710,1
10000586,111350-17_10077278_6711,1
10000586,111350-18_10016851_6814,1
10000586,111350-18_10211386_6814,1
10000586,111350-18_10514778_6815,1
10000586,111350-17_10514800_6711,1
10000586,111350-18_10544997_6814,1
10000586,111350-18_10582809_6816,1
10000586,111350-18_10584040_6816,1
10000586,111350-18_10584117_6814,1
10000586,111350-18_10584121_6814,1
10000586,111350-18_10585404_6814,1
10000586,111350-18_10585445_6814,1
10000586,111350-17_11031271_6710,1
10000586,111350-18_10514800_6815,1
10000586,111350-17_11031270_6710,1
10000586,111350-17_10933616_6710,1
10000586,111350-17_10584117_6710,1
10000586,111350-17_10584121_6710,1
10000586,111350-17_10585404_6708,1
10000586,111350-17_10585445_6708,1
10000586,111350-17_10585641_6710,1
10000586,111350-17_10588306_6711,1
10000586,111350-17_10716912_6710,1
10000586,111350-17_10873445_6710,1
10000586,111350-17_10919667_6710,1
10000586,111350-17_10919680_6710,1
10000586,111350-17_10920216_6710,1
10000586,111350-17_10920411_6710,1
10000586,111350-17_10924463_6711,1
10000586,111350-17_10929207_6710,1
10000586,111350-17_10933615_6710,1
10000586,111350-18_10585641_6814,1
10000586,111350-17_10933617_6710,1
10000586,111350-18_10713425_6408,1
10000586,111350-18_10713425_6817,1
10000586,111400-03_10599536_4309,1
10000586,111400-03_10716916_4310,1
10000586,111400-03_10716969_4310,1
