K,P,h
10201631,111230-06_10604591_0400,1
10201631,111230-06_10604591_0300,1
10201631,111230-06_10603449_0300,1
10201631,111230-06_10603449_0100,1
10201631,111230-06_10596825_0400,1
10201631,111230-06_10596825_0300,1
10201631,111230-06_10581250_0200,1
10201631,111230-06_10581250_0100,1
10201631,111230-06_10606773_0500,1
10201712,111230-06_10784130_0200,1
10201712,111230-06_10784130_0200,1
10201712,111230-06_10784130_0100,1
10201712,111230-06_10784130_0100,1
10201720,112020-02_10201342_0200,1
10201790,135120-08_10025195_0200,1
10201790,135120-08_10234571_0100,1
10201798,111230-06_10736640_0300,1
10201798,111230-06_10736640_0200,1
10201798,111030-07_10934613_1000,1
10201833,100660-01_10201835_0110,1
10201833,100660-01_10201835_0120,1
10201833,100660-01_10209538_0210,1
10201833,100660-01_10209538_0220,1
10201833,100660-01_10213105_0110,1
10201833,100660-01_10213105_0120,1
10201908,124870-08_10589430_0400,1
10201908,124870-08_10589430_0300,1
10201908,124870-08_10589430_0200,1
10201908,124870-08_10589430_0100,1
10201966,123550-09_10201941_1000,1
10201993,136040-18_11027251_0100,1
10201993,136040-18_10933002_0100,1
10201993,136040-18_10933001_0100,1
10201993,136040-18_10928023_0100,1
10201993,136040-18_10928022_0100,1
10201993,136040-18_10557733_0100,1
10201993,136040-18_10204699_0100,1
10201993,136040-18_10212704_0100,1
10201993,136040-18_10210882_0100,1
10201993,136040-18_10204048_0100,1
10201993,124860-06_10925529_0100,1
10201993,136040-18_10214644_0100,1
10201997,140500-01_10001181_0500,1
10202138,135100-21_10202137_0100,1
10202166,123350-16_10202393_0200,1
10202170,125040-05_10202171_0300,1
10202171,123470-31_10589091_0100,1
10202171,123470-20_11031891_0100,1
10202171,123470-31_10237540_0400,1
10202171,123470-20_10207056_0300,1
10202171,123470-20_11002422_0100,1
10202203,111190-02_10066216_0100,1
10202203,111190-02_10604399_0200,1
10202324,123350-82_10203484_0300,1
10202391,123350-85_10202394_0400,1
10202391,123350-85_10997924_0100,1
10202392,123350-85_10202394_0400,1
10202393,123350-86_10202392_0300,1
10202394,123350-84_10202170_0300,1
10202410,123550-09_10086821_1000,1
10202469,135130-29_10020920_0500,1
10202469,135130-29_11029100_0100,1
10202470,135130-24_10020917_0400,1
10202625,134130-01_10028042_1300,1
10202892,123350-82_10203484_0300,1
10203149,100440-08_10011097_0200,1
10203212,123580-01_10874392_0100,1
10203212,123580-01_10917989_0100,1
10203212,123580-01_10953884_0100,1
10203212,123580-01_10957381_0100,1
10203212,123580-01_10962859_0100,1
10203212,123580-01_10967811_0100,1
10203212,123580-01_10849011_0100,1
10203212,123580-01_11005013_0100,1
10203212,123580-01_11007218_0100,1
10203212,123580-01_11027256_0100,1
10203212,123580-01_11027259_0100,1
10203212,124270-01_10204515_0100,1
10203212,124270-01_11007013_0100,1
10203212,123580-01_10985099_0100,1
10203212,123580-01_10827730_0100,1
10203212,123580-01_10580300_0100,1
10203212,123580-01_10778992_0100,1
10203212,123580-01_10827729_0100,1
10203212,123580-01_10559811_0100,1
10203212,123580-01_10559864_0100,1
10203212,123580-01_10559869_0100,1
10203212,123580-01_10560052_0100,1
10203212,123580-01_10560164_0100,1
10203212,123580-01_10567612_0100,1
10203212,123580-01_10560915_0100,1
10203212,123580-01_10567614_0100,1
10203212,123580-01_10582364_0100,1
10203212,123580-01_10588920_0100,1
10203212,123580-01_10597593_0100,1
10203212,123580-01_10775686_0100,1
10203212,123580-01_10775687_0100,1
10203222,135120-15_10952911_0200,1
10203222,135120-16_10607694_0100,1
10203222,135120-16_10961367_0200,1
10203227,135130-24_10020074_0400,1
10203311,123590-06_10003756_0300,1
10203311,123590-06_10003756_0301,1
10203468,140040-12_10072875_0200,1
10203468,140040-14_10004632_0200,1
10203468,140040-20_10007061_0800,1
10203483,123350-86_10202166_0500,1
10203484,123350-83_10203483_0300,1
10203546,123420-13_10212873_0100,1
10203579,123520-17_10204737_0100,1
10203846,123020-65_10206138_0700,1
10203941,135120-07_10203943_0100,1
10203943,135130-22_10209365_0400,1
10204048,135100-03_10204006_0100,1
10204048,135100-03_10234213_0100,1
10204069,123510-05_11027173_1000,1
10204069,123520-07_10969147_0200,1
10204069,134130-08_10207495_1400,1
10204110,135100-08_10204247_0200,1
10204110,135100-21_10204247_0300,1
10204129,111480-01_10293912_0300,1
10204230,162590-01_10008321_0200,1
10204247,135130-22_10204724_0500,1
10204247,135130-24_10204724_0400,1
10204411,123410-25_10204410_0300,1
10204515,123580-01_10954750_0100,1
10204515,123580-01_11002808_0100,1
10204665,111480-01_11017525_0100,1
10204665,134130-08_10838035_1300,1
10204665,134130-08_11003463_1300,1
10204699,135100-03_10532872_0200,1
10204699,135100-03_10074826_0200,1
10204699,135100-03_10212491_0100,1
10204724,134130-05_10609567_1300,1
10204724,134130-35_10567469_1500,1
10204727,134130-08_10025620_1400,1
10204727,134130-08_10022460_1400,1
10204727,134130-05_11001706_0100,1
10204727,134130-05_10960180_1500,1
10204727,134130-05_10954824_1500,1
10204727,134130-05_10954664_1500,1
10204727,134130-05_10898230_1500,1
10204727,134130-05_10898158_1500,1
10204727,134130-08_10026285_1400,1
10204727,134130-05_10892041_1700,1
10204727,134130-05_10596247_1300,1
10204727,134130-05_10589007_1700,1
10204727,134130-05_10589005_1700,1
10204727,134130-05_10586240_1700,1
10204727,134130-05_10206947_1700,1
10204727,134130-05_10898191_1500,1
10204727,134130-08_10026442_1400,1
10204727,134130-08_10558998_1400,1
10204727,134130-05_10204620_1700,1
10204727,134130-41_10909513_0200,1
10204727,134130-41_10909437_1400,1
10204727,134130-41_10898463_1400,1
10204727,134130-41_10898281_0200,1
10204727,134130-41_10586240_1400,1
10204727,134130-40_10909513_0100,1
10204727,134130-40_10909437_1300,1
10204727,134130-08_10208278_1400,1
10204727,134130-40_10898463_1300,1
10204727,134130-40_10898276_1300,1
10204727,134130-40_10898271_1300,1
10204727,134130-24_10892650_1300,1
10204727,134130-24_10892643_1300,1
10204727,134130-24_10892636_1300,1
10204727,134130-24_10891464_1300,1
10204727,134130-08_10872230_1300,1
10204727,134130-40_10898281_0100,1
10204727,134130-05_10193373_1400,1
10204727,134130-08_10025800_1400,1
10204727,134130-05_10193370_1400,1
10204727,134130-03_10898276_0300,1
10204727,134130-03_10892737_1300,1
10204727,134130-03_10892089_0300,1
10204727,134130-03_10210103_1400,1
10204727,134130-03_10067397_1400,1
10204727,134130-03_10025995_1400,1
10204727,134130-01_10951980_1300,1
10204727,134130-04_10027135_1400,1
10204727,134130-01_10577275_1300,1
10204727,134130-01_10502480_1500,1
10204727,134130-01_10294721_1300,1
10204727,134130-01_10210389_1300,1
10204727,134130-01_10028211_1300,1
10204727,134130-01_10028178_1400,1
10204727,134130-01_10028042_1300,1
10204727,134130-05_10193372_1400,1
10204727,134130-01_10502480_1600,1
10204727,134130-04_10027438_1400,1
10204727,134130-04_10027238_1400,1
10204727,134130-04_10296896_1400,1
10204727,134130-05_10193336_1400,1
10204727,134130-05_10193317_1400,1
10204727,134130-05_10141654_1400,1
10204727,134130-05_10124196_1400,1
10204727,134130-05_10123558_1400,1
10204727,134130-05_10026381_1400,1
10204727,134130-05_10025728_1700,1
10204727,134130-04_10027465_1400,1
10204727,134130-05_10023914_1700,1
10204727,134130-05_10023917_1400,1
10204727,134130-05_10022315_1400,1
10204727,134130-05_10022275_1700,1
10204727,134130-05_10020648_1400,1
10204727,134130-05_10020557_1700,1
10204727,134130-04_10892741_0400,1
10204727,134130-04_10519730_1400,1
10204727,134130-05_10023290_1700,1
10204737,111230-06_10542880_0300,1
10204737,111230-06_10088500_0100,1
10204737,111230-06_10542880_0200,1
10204737,111230-06_10263637_0100,1
10204737,111230-06_10088500_0200,1
10204737,111230-06_10070668_0200,1
10204737,111230-06_10014827_0100,1
10204737,111230-06_10064402_0200,1
10204737,111230-06_10064402_0100,1
10204737,111230-06_10063694_0600,1
10204737,111230-06_10014827_0200,1
10204737,111230-06_10070668_0100,1
10204863,135100-01_10010598_0500,1
10204906,135130-38_10961690_0200,1
10204906,136040-21_10204906_0700,1
10204906,136040-21_10204906_0700,1
10204906,136040-21_10204906_0700,1
10204916,135100-04_10205614_0300,1
10204933,111480-01_10706125_0100,1
10204933,111480-01_10707437_0100,1
10204933,111480-01_10989209_0100,1
10204933,111480-01_11022177_0100,1
10205109,135120-07_10205111_0100,1
10205111,135130-22_10025131_0400,1
10205111,135130-22_10929309_0400,1
10205137,124930-52_10005681_5200,1
10205137,124930-52_10582894_5200,1
10205137,124930-52_10582894_5201,1
10205137,124930-52_10584347_5200,1
10205137,124930-52_10584347_5201,1
10205137,124930-52_10612562_5200,1
10205137,124930-52_10582894_520B,1
10205137,124930-52_10584347_520B,1
10205248,111640-03_10063057_0300,1
10205262,135120-16_10203941_0200,1
10205294,123020-24_10826726_0700,1
10205294,123020-24_10950502_0700,1
10205294,123020-24_10962223_0700,1
10205294,123020-24_11006316_0100,1
10205306,123350-84_10202170_0300,1
10205308,123500-03_10205306_0100,1
10205375,123550-11_10205376_1000,1
10205376,123510-02_10205210_1200,1
10205382,111230-06_10933957_0100,1
10205382,111230-06_10933957_0200,1
10205382,111230-06_10965899_0300,1
10205382,111230-06_10975650_0300,1
10205382,111230-06_10977545_1111,1
10205382,111230-06_10992173_0100,1
10205382,111230-06_10994393_0100,1
10205382,111230-06_10913865_0300,1
10205382,111230-06_10994393_0200,1
10205382,111230-06_10999733_0200,1
10205382,111230-06_10999733_0300,1
10205382,111230-06_10999735_1111,1
10205382,111230-06_11023382_1111,1
10205382,111230-06_10992173_0200,1
10205382,111230-06_10913865_0200,1
10205382,111230-06_10975650_0200,1
10205382,111230-06_10857100_0200,1
10205382,111230-06_10207201_0100,1
10205382,111230-06_10857100_0400,1
10205382,111230-06_10210990_0100,1
10205382,111230-06_10210990_0200,1
10205382,111230-06_10211274_0100,1
10205382,111230-06_10211274_0200,1
10205382,111230-06_10603731_0300,1
10205382,111230-06_10207201_0200,1
10205382,111230-06_10606773_0500,1
10205382,111230-06_10606773_0600,1
10205382,111230-06_10748624_0200,1
10205382,111230-06_10748624_0300,1
10205382,111230-06_10777106_0300,1
10205382,111230-06_10777106_0400,1
10205382,111230-06_10603731_0400,1
10205395,134130-02_10500138_1400,1
10205439,135150-15_10000598_0600,1
10205439,135150-17_10023539_0300,1
10205439,135150-17_10025497_0800,1
10205439,135150-17_10026039_0800,1
10205439,135150-17_10035143_0800,1
10205439,135150-17_11023193_0200,1
10205439,135150-17_11027322_0200,1
10205439,135150-17_11023152_0200,1
10205439,135150-17_11024415_0200,1
10205439,135150-17_11026769_0200,1
10205439,135150-12_10074927_0300,1
10205439,135150-17_10925065_0800,1
10205439,135150-10_10074927_0200,1
10205439,135150-17_10925066_0800,1
10205439,135150-02_11026769_0100,1
10205439,135150-02_11024415_0100,1
10205439,135150-02_11023193_0100,1
10205439,135150-02_11023152_0100,1
10205439,135150-02_11027322_0100,1
10205439,135150-02_11004224_0200,1
10205439,135150-02_10925067_0200,1
10205439,135150-02_10925066_0200,1
10205439,135150-02_10925065_0200,1
10205439,135150-02_10781133_0100,1
10205439,135150-02_10026039_0500,1
10205439,135150-02_10025948_0300,1
10205439,135150-02_10025497_0500,1
10205439,135150-07_10925067_0800,1
10205530,151450-11_11001999_0100,1
10205530,151450-11_10235265_0100,1
10205530,151450-11_10067475_0400,1
10205530,151450-11_10015136_0100,1
10205531,151450-11_10061313_0100,1
10205532,151450-11_10004512_0100,1
10205582,123410-15_10202113_0200,1
10205582,123520-07_10064606_0100,1
10205582,136040-18_10204699_0100,1
10205582,136040-18_11027251_0100,1
10205591,123080-08_10594904_0100,1
10205614,135130-33_10063188_0400,1
10205680,151560-01_10072390_0300,1
10205680,151560-01_10072390_0400,1
10205695,123550-11_10208633_1000,1
10205744,135150-17_10205736_0800,1
10205777,123590-06_10012587_0201,1
10205777,123590-03_10065978_0500,1
10205777,123590-03_10208720_0200,1
10205777,123590-02_10012587_0400,1
10205777,123590-02_10012587_0500,1
10205936,123380-03_10205781_0401,1
10205936,123380-03_58495875_0401,1
10205936,123380-03_58517966_0401,1
10205936,123380-03_58561396_0401,1
10205936,123380-03_58561402_0401,1
10205936,123380-03_58630054_0401,1
10205936,123380-03_58026484_0401,1
10205936,123380-03_58874298_0401,1
10205956,151450-02_10067475_0600,1
10205956,151450-02_10206641_0100,1
10205994,123410-25_10205941_0410,1
10206138,123020-73_10996134_0700,1
10206138,123530-01_10089938_0500,1
10206138,123020-85_10291717_0700,1
10206138,123530-01_10996134_0100,1
10206138,123020-73_10291717_0800,1
10206138,123020-30_11030361_0700,1
10206138,123020-30_11011545_0700,1
10206138,123020-30_10932973_1100,1
10206138,123020-73_10932042_0700,1
10206165,123590-06_10010175_0100,1
10206314,100680-10_10206607_0210,1
10206386,124930-70_10097600_7000,1
10206386,124930-70_10097600_7010,1
10206386,124930-70_10209914_7000,1
10206570,123680-07_10234302_0400,1
10206570,123680-07_10264197_0300,1
10206570,123680-07_10264197_0400,1
10206646,112020-02_10872535_0200,1
10206646,112020-02_10082532_0200,1
10206646,112020-02_10085415_0200,1
10206673,111030-07_10515196_1000,1
10206697,123680-12_10565066_1300,1
10206697,123520-15_10576571_0100,1
10206697,123680-12_10411781_0100,1
10206697,111450-08_10069231_0101,1
10206697,123520-15_10078634_0600,1
10206768,135100-01_10202470_0200,1
10206768,135100-01_10202470_0500,1
10206862,123510-05_10714021_1200,1
10206928,135130-33_10013990_0200,1
10206929,135130-33_10205262_0200,1
10206930,135120-16_10205109_0200,1
10206930,135120-16_10544648_0200,1
10206947,134130-08_11003464_1300,1
10206982,111230-05_10736532_0100,1
10207059,123530-01_10014529_0500,1
10207115,123020-03_11030998_0700,1
10207115,123020-03_11039608_0700,1
10207264,123540-08_10064088_0300,1
10207264,123540-08_10981182_0300,1
10207272,123540-14_10606568_0100,1
10207272,123540-14_10577770_0200,1
10207272,123540-14_10577767_0200,1
10207272,123540-14_10577764_0200,1
10207272,123540-14_10577763_0100,1
10207272,123540-14_10072356_0200,1
10207272,123540-14_10072354_0020,1
10207272,123540-14_10578440_0100,1
10207272,123540-14_10072350_0200,1
10207272,123540-14_10072346_0200,1
10207272,123540-14_10002736_0200,1
10207272,123540-05_10072354_0100,1
10207272,123540-05_10578440_0500,1
10207272,123540-05_10577764_0100,1
10207272,123540-05_10013354_0100,1
10207272,123540-14_10072351_0200,1
10207275,124600-06_10861788_0300,1
10207412,123520-15_10210141_0200,1
10207414,134130-05_10026381_1400,1
10207418,134130-08_10838035_1300,1
10207418,134130-08_10716569_1300,1
10207418,134130-08_10704952_1300,1
10207418,134130-08_10588163_1400,1
10207418,134130-08_10242574_1400,1
10207418,134130-08_10558998_1400,1
10207418,134130-08_10510450_1400,1
10207418,134130-08_10326785_1300,1
10207418,134130-08_10872230_1300,1
10207418,134130-08_10208278_1400,1
10207418,134130-08_10575970_1500,1
10207418,134130-08_10897900_1500,1
10207418,134130-08_10958703_1500,1
10207418,134130-08_10916749_1500,1
10207418,134130-08_10955653_1500,1
10207418,134130-08_10955677_1500,1
10207418,134130-08_10957323_1500,1
10207418,134130-08_11003464_1300,1
10207418,134130-08_11003466_1300,1
10207418,134130-24_10891286_1300,1
10207418,134130-24_10891299_1300,1
10207418,134130-24_10891464_1300,1
10207418,134130-24_10892636_1300,1
10207418,134130-24_10892643_1300,1
10207418,134130-08_10207495_1400,1
10207418,134130-08_10916749_1300,1
10207418,134130-08_10055820_1300,1
10207418,134130-05_10968623_1700,1
10207418,134130-08_10026285_1400,1
10207418,134130-05_10912789_1300,1
10207418,134130-05_10912807_1300,1
10207418,134130-05_10912862_1100,1
10207418,134130-05_10912864_1300,1
10207418,134130-05_10912865_1100,1
10207418,134130-05_10954664_1500,1
10207418,134130-05_10954824_1500,1
10207418,134130-05_10960180_1500,1
10207418,134130-05_10964982_1300,1
10207418,134130-05_10966557_1300,1
10207418,134130-24_10892650_1300,1
10207418,134130-05_10969568_1300,1
10207418,134130-08_10026442_1400,1
10207418,134130-05_10973676_1300,1
10207418,134130-05_11001706_0100,1
10207418,134130-05_11010740_1300,1
10207418,134130-05_11012407_1300,1
10207418,134130-05_11022791_1300,1
10207418,134130-05_11025605_1300,1
10207418,134130-05_10892801_1300,1
10207418,134130-05_11022790_1300,1
10207418,134130-05_11025606_1300,1
10207418,134130-05_11040726_1300,1
10207418,134130-05_11042379_1300,1
10207418,134130-08_10022460_1400,1
10207418,134130-08_10025800_1400,1
10207418,134130-05_10998466_1300,1
10207418,134130-24_11037702_1300,1
10207418,134130-35_10579655_1500,1
10207418,134130-28_10977248_1300,1
10207418,134130-40_10898271_1300,1
10207418,134130-40_10898276_1300,1
10207418,134130-40_10898281_0100,1
10207418,134130-40_10898463_1300,1
10207418,134130-40_10909437_1300,1
10207418,134130-40_10909513_0100,1
10207418,134130-40_10955653_1300,1
10207418,134130-40_10955677_1300,1
10207418,134130-40_10957323_1300,1
10207418,134130-40_10958703_1300,1
10207418,134130-40_10972740_1300,1
10207418,134130-41_10123885_1300,1
10207418,134130-41_10175465_1300,1
10207418,134130-41_10175467_1300,1
10207418,134130-41_10586240_1400,1
10207418,134130-41_10609384_1400,1
10207418,134130-41_10609463_1400,1
10207418,134130-41_10886429_1400,1
10207418,134130-41_10892794_1400,1
10207418,134130-41_10892801_1400,1
10207418,134130-41_10898281_0200,1
10207418,134130-41_10898463_1400,1
10207418,134130-41_10909437_1400,1
10207418,134130-41_10909513_0200,1
10207418,134130-41_10925794_1400,1
10207418,134130-35_11026845_1500,1
10207418,134130-35_11026843_1500,1
10207418,134130-35_11022903_1500,1
10207418,134130-35_10961769_1300,1
10207418,134130-35_10020175_1500,1
10207418,134130-35_10023921_1300,1
10207418,134130-35_10026158_1500,1
10207418,134130-35_10294668_1500,1
10207418,134130-35_10294669_1500,1
10207418,134130-35_10510314_1500,1
10207418,134130-35_10521300_1500,1
10207418,134130-35_10541668_1500,1
10207418,134130-35_10542148_1500,1
10207418,134130-35_10558474_1500,1
10207418,134130-35_10565258_1500,1
10207418,134130-35_10565607_1500,1
10207418,134130-28_10965396_1300,1
10207418,134130-35_10567469_1500,1
10207418,134130-05_10911548_1300,1
10207418,134130-35_10590861_1500,1
10207418,134130-35_10604706_1500,1
10207418,134130-35_10608382_1500,1
10207418,134130-35_10608729_1500,1
10207418,134130-35_10610466_1500,1
10207418,134130-35_10700485_1500,1
10207418,134130-35_10700608_1500,1
10207418,134130-35_10716755_1500,1
10207418,134130-35_10756229_1500,1
10207418,134130-35_10910721_1500,1
10207418,134130-35_10918670_1500,1
10207418,134130-35_10575966_1500,1
10207418,134130-05_10911547_1300,1
10207418,134130-35_10700959_1500,1
10207418,134130-05_10911164_1300,1
10207418,134130-03_10892089_0300,1
10207418,134130-03_10892737_1300,1
10207418,134130-03_10898276_0300,1
10207418,134130-03_10313500_0400,1
10207418,134130-04_10027135_1400,1
10207418,134130-04_10027238_1400,1
10207418,134130-04_10027258_1400,1
10207418,134130-04_10027438_1400,1
10207418,134130-04_10027465_1400,1
10207418,134130-04_10296896_1400,1
10207418,134130-04_10519730_1400,1
10207418,134130-04_10609379_1100,1
10207418,134130-04_10713816_1300,1
10207418,134130-04_10892741_0400,1
10207418,134130-05_10005274_1400,1
10207418,134130-05_10020557_1700,1
10207418,134130-05_10020648_1400,1
10207418,134130-05_10022275_1700,1
10207418,134130-05_10022315_1400,1
10207418,134130-05_10023290_1700,1
10207418,134130-05_10023914_1700,1
10207418,134130-05_10023917_1400,1
10207418,134130-05_10025728_1700,1
10207418,134130-05_10026381_1400,1
10207418,134130-05_10058137_1300,1
10207418,134130-03_10701693_1400,1
10207418,134130-03_10233068_1400,1
10207418,134130-03_10210103_1400,1
10207418,134130-03_10067397_1400,1
10207418,134130-05_10911165_1300,1
10207418,134130-01_10010329_1500,1
10207418,134130-01_10028042_1300,1
10207418,134130-01_10028178_1400,1
10207418,134130-01_10028211_1300,1
10207418,134130-01_10210389_1300,1
10207418,134130-01_10233971_1300,1
10207418,134130-01_10294721_1300,1
10207418,134130-01_10502480_1500,1
10207418,134130-01_10502480_1600,1
10207418,134130-01_10577275_1300,1
10207418,134130-01_10748671_1400,1
10207418,134130-05_10123558_1400,1
10207418,134130-01_10892688_1300,1
10207418,134130-01_10951981_1500,1
10207418,134130-02_10028021_1400,1
10207418,134130-02_10028039_1400,1
10207418,134130-02_10072488_1400,1
10207418,134130-02_10234041_1400,1
10207418,134130-02_10500138_1400,1
10207418,134130-02_10595617_1300,1
10207418,134130-02_10609448_1100,1
10207418,134130-02_10893002_1300,1
10207418,134130-02_10914252_1100,1
10207418,134130-02_11001704_1300,1
10207418,134130-03_10025995_1400,1
10207418,134130-01_10951980_1300,1
10207418,134130-05_10123885_1700,1
10207418,134130-02_10317189_1400,1
10207418,134130-05_10141654_1400,1
10207418,134130-05_10609567_1300,1
10207418,134130-05_10609568_1400,1
10207418,134130-05_10612684_1300,1
10207418,134130-05_10700274_1300,1
10207418,134130-05_10701694_1700,1
10207418,134130-05_10714352_1300,1
10207418,134130-05_10714353_1300,1
10207418,134130-05_10715495_1400,1
10207418,134130-05_10715496_1300,1
10207418,134130-05_10886429_1700,1
10207418,134130-05_10892041_1700,1
10207418,134130-05_10892062_1300,1
10207418,134130-05_10609566_1300,1
10207418,134130-05_10892063_1300,1
10207418,134130-05_10892839_1700,1
10207418,134130-05_10911163_1300,1
10207418,134130-05_10897133_1300,1
10207418,134130-05_10898158_1500,1
10207418,134130-05_10898191_1500,1
10207418,134130-05_10898230_1500,1
10207418,134130-05_10909073_1300,1
10207418,134130-05_10911086_1100,1
10207418,134130-05_10911158_1300,1
10207418,134130-05_10911161_1100,1
10207418,134130-05_10911162_1300,1
10207418,134130-05_10124196_1400,1
10207418,134130-05_10892821_1300,1
10207418,134130-05_10609564_1300,1
10207418,134130-05_10892844_1700,1
10207418,134130-05_10609460_1700,1
10207418,134130-05_10142212_1400,1
10207418,134130-05_10609463_1700,1
10207418,134130-05_10175465_1400,1
10207418,134130-05_10175466_1700,1
10207418,134130-05_10175467_1400,1
10207418,134130-05_10193336_1400,1
10207418,134130-05_10193370_1400,1
10207418,134130-05_10193372_1400,1
10207418,134130-05_10193373_1400,1
10207418,134130-05_10204620_1700,1
10207418,134130-05_10206947_1700,1
10207418,134130-05_10304443_1300,1
10207418,134130-05_10313319_1300,1
10207418,134130-05_10313320_1300,1
10207418,134130-05_10193317_1400,1
10207418,134130-05_10319118_1700,1
10207418,134130-05_10609384_1700,1
10207418,134130-05_10313500_1300,1
10207418,134130-05_10609381_1400,1
10207418,134130-05_10609377_1300,1
10207418,134130-05_10596247_1300,1
10207418,134130-05_10609383_1300,1
10207418,134130-05_10589005_1700,1
10207418,134130-05_10586240_1700,1
10207418,134130-05_10327354_1700,1
10207418,134130-05_10589007_1700,1
10207418,134130-05_10609452_1300,1
10207529,124980-01_10209450_0100,1
10207529,124980-01_10515203_0200,1
10207619,123530-02_10077024_0800,1
10207688,135100-01_10203227_0200,1
10207838,111990-01_10962929_0200,1
10207838,111990-01_10963003_0200,1
10207838,111990-01_10963003_0300,1
10207838,111990-01_10963007_0300,1
10207838,111990-01_10963005_0200,1
10207838,111990-01_10963006_0200,1
10207838,111990-01_10963007_0200,1
10207838,111990-01_10963013_0200,1
10207838,111990-01_10963008_0300,1
10207838,111990-01_10963010_0300,1
10207838,111990-01_10963011_0300,1
10207838,111990-01_10963012_0200,1
10207838,111990-01_10963014_0200,1
10207838,111990-01_10962926_0300,1
10207838,111990-01_10963013_0300,1
10207838,111990-01_10963008_0200,1
10207838,111990-01_10962926_0200,1
10207838,111990-01_10910877_0300,1
10207838,111990-01_10962864_0300,1
10207838,111990-01_10880361_0300,1
10207838,111990-01_10910872_0200,1
10207838,111990-01_10910877_0200,1
10207838,111990-01_10933240_0100,1
10207838,111990-01_10933328_0300,1
10207838,111990-01_10953204_0300,1
10207838,111990-01_10962625_0200,1
10207838,111990-01_10962818_0100,1
10207838,111990-01_10962818_0200,1
10207838,111990-01_10962819_0200,1
10207838,111990-01_10962860_0200,1
10207838,111990-01_10962860_0300,1
10207838,111990-01_10962861_0200,1
10207838,111990-01_10962861_0300,1
10207838,111990-01_10962862_0300,1
10207838,111990-01_10962876_0300,1
10207838,111990-01_10963014_0300,1
10207838,111990-02_10294024_0400,1
10207838,111990-01_10967617_0100,1
10207838,111990-02_10202861_0400,1
10207838,111990-02_10202865_0400,1
10207838,111990-02_10202866_0400,1
10207838,111990-02_10202867_0400,1
10207838,111990-02_10203256_0400,1
10207838,111990-02_10203257_0400,1
10207838,111990-02_10241116_0400,1
10207838,111990-02_10202858_0400,1
10207838,111990-02_10290843_0400,1
10207838,111990-02_10871328_0400,1
10207838,111990-02_10879792_0400,1
10207838,111990-02_10880361_0400,1
10207838,111990-02_10933328_0400,1
10207838,111990-02_10953204_0400,1
10207838,111990-01_10880361_0100,1
10207838,111990-02_10963785_0400,1
10207838,111990-02_10588906_0400,1
10207838,111990-01_10963015_0300,1
10207838,111990-02_10202856_0400,1
10207838,111990-02_10202795_0400,1
10207838,111990-01_10967846_0100,1
10207838,111990-01_10986532_0300,1
10207838,111990-01_10986533_0100,1
10207838,111990-01_11006774_0100,1
10207838,111990-01_11006775_0100,1
10207838,111990-01_11006777_0100,1
10207838,111990-02_10202509_0400,1
10207838,111990-02_10202855_0400,1
10207838,111990-02_10202512_0400,1
10207838,111990-02_10202515_0400,1
10207838,111990-02_10202575_0400,1
10207838,111990-02_10202683_0400,1
10207838,111990-02_10202684_0400,1
10207838,111990-02_10202685_0400,1
10207838,111990-02_10202686_0400,1
10207838,111990-02_10202794_0400,1
10207838,111990-02_10202513_0400,1
10207838,111990-01_10879792_0300,1
10207838,111990-01_10202867_0300,1
10207838,111990-01_10871328_0300,1
10207838,111990-01_10202685_0300,1
10207838,111990-01_10202686_0100,1
10207838,111990-01_10202686_0300,1
10207838,111990-01_10202790_0100,1
10207838,111990-01_10202792_0100,1
10207838,111990-01_10202793_0100,1
10207838,111990-01_10202794_0300,1
10207838,111990-01_10202795_0300,1
10207838,111990-01_10202851_0300,1
10207838,111990-01_10202852_0300,1
10207838,111990-01_10202854_0100,1
10207838,111990-01_10202855_0300,1
10207838,111990-01_10202856_0300,1
10207838,111990-01_10202858_0300,1
10207838,111990-01_10202861_0300,1
10207838,111990-01_10202685_0100,1
10207838,111990-01_10202864_0100,1
10207838,111990-01_10202684_0300,1
10207838,111990-01_10202684_0100,1
10207838,111990-01_10202507_0300,1
10207838,111990-01_10202508_0100,1
10207838,111990-01_10202508_0300,1
10207838,111990-01_10202510_0100,1
10207838,111990-01_10202511_0100,1
10207838,111990-01_10202512_0300,1
10207838,111990-01_10202513_0300,1
10207838,111990-01_10202515_0300,1
10207838,111990-01_10202681_0100,1
10207838,111990-01_10202681_0200,1
10207838,111990-01_10202682_0100,1
10207838,111990-01_10202682_0200,1
10207838,111990-01_10202683_0100,1
10207838,111990-01_10879792_0100,1
10207838,111990-01_10202683_0300,1
10207838,111990-01_10202684_0200,1
10207838,111990-01_10202864_0200,1
10207838,111990-01_10202683_0200,1
10207838,111990-01_10202866_0300,1
10207838,111990-01_10290843_0300,1
10207838,111990-01_10502834_0200,1
10207838,111990-01_10502836_0100,1
10207838,111990-01_10502836_0200,1
10207838,111990-01_10515541_0100,1
10207838,111990-01_10515541_0200,1
10207838,111990-01_10583533_0100,1
10207838,111990-01_10583533_0200,1
10207838,111990-01_10588906_0100,1
10207838,111990-01_10588906_0300,1
10207838,111990-01_10860384_0100,1
10207838,111990-01_10860384_0300,1
10207838,111990-01_10867801_0100,1
10207838,111990-01_10867801_0300,1
10207838,111990-01_10202865_0300,1
10207838,111990-01_10290843_0100,1
10207838,111990-01_10290842_0200,1
